fixed,batches,learning rate,batch_size,per_batch,dropout,k_conv,n_conv1,n_conv2,n_layer,n_steps,train step,xentropy,rmse,accuracy
True,1,0.005,100,100,0.99,3,2,7,1,,0,38.6939,0.140611,0.0
True,1,0.005,100,100,0.99,3,2,7,1,,10,21.3003,0.130617,0.0
True,1,0.005,100,100,0.99,3,2,7,1,,20,11.7676,0.108096,0.0
True,1,0.005,100,100,0.99,3,2,7,1,,30,7.31509,0.104519,0.03
True,1,0.005,100,100,0.99,3,2,7,1,,40,5.14176,0.10235,0.07
True,1,0.005,100,100,0.99,3,2,7,1,,50,4.88742,0.102375,0.06
True,1,0.005,100,100,0.99,3,2,7,1,,60,4.45326,0.100228,0.05
True,1,0.005,100,100,0.99,3,2,7,1,,70,4.34166,0.099687,0.06
True,1,0.005,100,100,0.99,3,2,7,1,,80,4.62458,0.101589,0.04
True,1,0.005,100,100,0.99,3,2,7,1,,90,4.75287,0.101199,0.04
True,1,0.005,100,100,0.99,3,2,7,1,,-1,13.1518,0.102213,0.04
True,1,0.005,100,500,0.99,3,2,7,1,,0,196.686,0.140711,0.0
True,1,0.005,100,500,0.99,3,2,7,1,,10,84.8225,0.138129,0.0
True,1,0.005,100,500,0.99,3,2,7,1,,20,45.6297,0.134299,0.02
True,1,0.005,100,500,0.99,3,2,7,1,,30,26.9038,0.129299,0.08
True,1,0.005,100,500,0.99,3,2,7,1,,40,18.6675,0.123168,0.12
True,1,0.005,100,500,0.99,3,2,7,1,,50,11.6124,0.114574,0.22
True,1,0.005,100,500,0.99,3,2,7,1,,60,8.03849,0.107544,0.28
True,1,0.005,100,500,0.99,3,2,7,1,,70,5.53221,0.101436,0.36
True,1,0.005,100,500,0.99,3,2,7,1,,80,4.61576,0.0920613,0.45
True,1,0.005,100,500,0.99,3,2,7,1,,90,3.80554,0.0922996,0.49
True,1,0.005,100,500,0.99,3,2,7,1,,100,2.57537,0.0756397,0.64
True,1,0.005,100,500,0.99,3,2,7,1,,110,1.69938,0.0702508,0.68
True,1,0.005,100,500,0.99,3,2,7,1,,120,2.11233,0.0736989,0.66
True,1,0.005,100,500,0.99,3,2,7,1,,130,1.70798,0.0691528,0.69
True,1,0.005,100,500,0.99,3,2,7,1,,140,0.976921,0.0579593,0.8
True,1,0.005,100,500,0.99,3,2,7,1,,150,1.29002,0.0652888,0.72
True,1,0.005,100,500,0.99,3,2,7,1,,160,1.48682,0.0581521,0.78
True,1,0.005,100,500,0.99,3,2,7,1,,170,1.4318,0.0578404,0.78
True,1,0.005,100,500,0.99,3,2,7,1,,180,1.54698,0.0623398,0.74
True,1,0.005,100,500,0.99,3,2,7,1,,190,0.888907,0.0574355,0.79
True,1,0.005,100,500,0.99,3,2,7,1,,200,1.00226,0.0534722,0.79
True,1,0.005,100,500,0.99,3,2,7,1,,210,1.05685,0.0525418,0.83
True,1,0.005,100,500,0.99,3,2,7,1,,220,0.817925,0.04859,0.84
True,1,0.005,100,500,0.99,3,2,7,1,,230,1.37591,0.0551333,0.82
