fixed,noise,batches,learning rate,batch_size,per_batch,dropout,k_conv,n_conv1,n_conv2,n_layer,n_steps,train step,xentropy,rmse,accuracy
True,True,10,0.005,100,100,0.99,3,2,7,1,,0,269.121,0.137003,0.05
True,True,10,0.005,100,100,0.99,3,2,7,1,,10,133.253,0.137022,0.03
True,True,10,0.005,100,100,0.99,3,2,7,1,,20,71.4171,0.135732,0.03
True,True,10,0.005,100,100,0.99,3,2,7,1,,30,44.1918,0.132708,0.05
True,True,10,0.005,100,100,0.99,3,2,7,1,,40,31.7673,0.130621,0.07
True,True,10,0.005,100,100,0.99,3,2,7,1,,50,23.7726,0.126808,0.09
True,True,10,0.005,100,100,0.99,3,2,7,1,,60,18.0593,0.122968,0.13
True,True,10,0.005,100,100,0.99,3,2,7,1,,70,13.5501,0.115121,0.19
True,True,10,0.005,100,100,0.99,3,2,7,1,,80,10.0596,0.108262,0.25
True,True,10,0.005,100,100,0.99,3,2,7,1,,90,7.04584,0.0985984,0.36
True,True,10,0.005,100,100,0.99,3,2,7,1,,100,4.7511,0.0893363,0.49
True,True,10,0.005,100,100,0.99,3,2,7,1,,110,16.9831,0.125511,0.04
True,True,10,0.005,100,100,0.99,3,2,7,1,,120,9.09433,0.117623,0.05
True,True,10,0.005,100,100,0.99,3,2,7,1,,130,5.81717,0.106872,0.12
True,True,10,0.005,100,100,0.99,3,2,7,1,,140,4.26088,0.0991932,0.19
True,True,10,0.005,100,100,0.99,3,2,7,1,,150,3.19369,0.0888208,0.39
True,True,10,0.005,100,100,0.99,3,2,7,1,,160,2.46111,0.0806192,0.51
True,True,10,0.005,100,100,0.99,3,2,7,1,,170,1.70024,0.0717309,0.59
True,True,10,0.005,100,100,0.99,3,2,7,1,,180,1.11075,0.0590264,0.74
True,True,10,0.005,100,100,0.99,3,2,7,1,,190,0.66733,0.0497107,0.86
True,True,10,0.005,100,100,0.99,3,2,7,1,,200,0.451115,0.041191,0.91
True,True,10,0.005,100,100,0.99,3,2,7,1,,210,9.13955,0.111914,0.11
True,True,10,0.005,100,100,0.99,3,2,7,1,,220,5.14118,0.103493,0.11
True,True,10,0.005,100,100,0.99,3,2,7,1,,230,3.80169,0.0974197,0.19
True,True,10,0.005,100,100,0.99,3,2,7,1,,240,3.0255,0.090839,0.32
True,True,10,0.005,100,100,0.99,3,2,7,1,,250,2.37658,0.0856166,0.37
True,True,10,0.005,100,100,0.99,3,2,7,1,,260,1.8389,0.0795852,0.48
True,True,10,0.005,100,100,0.99,3,2,7,1,,270,1.48758,0.0733122,0.56
True,True,10,0.005,100,100,0.99,3,2,7,1,,280,1.19142,0.0656079,0.69
True,True,10,0.005,100,100,0.99,3,2,7,1,,290,0.878625,0.0564813,0.78
True,True,10,0.005,100,100,0.99,3,2,7,1,,300,0.718607,0.0521656,0.83
True,True,10,0.005,100,100,0.99,3,2,7,1,,310,5.92165,0.101666,0.17
True,True,10,0.005,100,100,0.99,3,2,7,1,,320,3.84695,0.0964812,0.21
True,True,10,0.005,100,100,0.99,3,2,7,1,,330,3.1571,0.0933153,0.24
True,True,10,0.005,100,100,0.99,3,2,7,1,,340,2.69945,0.0908884,0.29
True,True,10,0.005,100,100,0.99,3,2,7,1,,350,2.21761,0.0849249,0.41
True,True,10,0.005,100,100,0.99,3,2,7,1,,360,1.99191,0.0818482,0.53
True,True,10,0.005,100,100,0.99,3,2,7,1,,370,1.69827,0.0763255,0.58
True,True,10,0.005,100,100,0.99,3,2,7,1,,380,1.44743,0.0709585,0.67
True,True,10,0.005,100,100,0.99,3,2,7,1,,390,1.17252,0.0664041,0.69
True,True,10,0.005,100,100,0.99,3,2,7,1,,400,1.09198,0.0625967,0.75
True,True,10,0.005,100,100,0.99,3,2,7,1,,410,6.09001,0.102816,0.1
True,True,10,0.005,100,100,0.99,3,2,7,1,,420,4.17723,0.0987886,0.1
True,True,10,0.005,100,100,0.99,3,2,7,1,,430,3.65193,0.0966474,0.16
True,True,10,0.005,100,100,0.99,3,2,7,1,,440,3.22572,0.0934055,0.21
True,True,10,0.005,100,100,0.99,3,2,7,1,,450,2.94712,0.0923462,0.25
True,True,10,0.005,100,100,0.99,3,2,7,1,,460,2.5576,0.0887223,0.37
True,True,10,0.005,100,100,0.99,3,2,7,1,,470,2.30164,0.0855209,0.4
True,True,10,0.005,100,100,0.99,3,2,7,1,,480,1.97223,0.0809563,0.47
True,True,10,0.005,100,100,0.99,3,2,7,1,,490,1.61833,0.0756396,0.61
True,True,10,0.005,100,100,0.99,3,2,7,1,,500,1.37822,0.0706495,0.67
True,True,10,0.005,100,100,0.99,3,2,7,1,,510,4.61264,0.0985816,0.15
True,True,10,0.005,100,100,0.99,3,2,7,1,,520,3.5481,0.0950558,0.22
True,True,10,0.005,100,100,0.99,3,2,7,1,,530,2.93159,0.0905404,0.26
True,True,10,0.005,100,100,0.99,3,2,7,1,,540,2.59661,0.0881913,0.34
True,True,10,0.005,100,100,0.99,3,2,7,1,,550,2.18639,0.0822825,0.45
True,True,10,0.005,100,100,0.99,3,2,7,1,,560,1.89155,0.0787962,0.56
True,True,10,0.005,100,100,0.99,3,2,7,1,,570,1.63273,0.074394,0.61
True,True,10,0.005,100,100,0.99,3,2,7,1,,580,1.34662,0.0679434,0.69
True,True,10,0.005,100,100,0.99,3,2,7,1,,590,1.22504,0.0655568,0.69
True,True,10,0.005,100,100,0.99,3,2,7,1,,600,1.04316,0.0612238,0.7
True,True,10,0.005,100,100,0.99,3,2,7,1,,610,5.4951,0.103393,0.12
True,True,10,0.005,100,100,0.99,3,2,7,1,,620,3.63496,0.0956619,0.25
True,True,10,0.005,100,100,0.99,3,2,7,1,,630,2.96909,0.0917846,0.33
True,True,10,0.005,100,100,0.99,3,2,7,1,,640,2.59641,0.0877877,0.39
True,True,10,0.005,100,100,0.99,3,2,7,1,,650,2.1675,0.0832822,0.47
True,True,10,0.005,100,100,0.99,3,2,7,1,,660,1.74942,0.0753075,0.57
True,True,10,0.005,100,100,0.99,3,2,7,1,,670,1.46992,0.0705163,0.65
True,True,10,0.005,100,100,0.99,3,2,7,1,,680,1.28659,0.0673009,0.68
True,True,10,0.005,100,100,0.99,3,2,7,1,,690,1.03079,0.0612651,0.73
True,True,10,0.005,100,100,0.99,3,2,7,1,,700,0.862199,0.057051,0.77
True,True,10,0.005,100,100,0.99,3,2,7,1,,710,4.80886,0.099156,0.16
True,True,10,0.005,100,100,0.99,3,2,7,1,,720,3.52036,0.0951662,0.18
True,True,10,0.005,100,100,0.99,3,2,7,1,,730,2.92052,0.0906574,0.29
True,True,10,0.005,100,100,0.99,3,2,7,1,,740,2.45044,0.0864751,0.39
True,True,10,0.005,100,100,0.99,3,2,7,1,,750,2.1095,0.0827503,0.49
True,True,10,0.005,100,100,0.99,3,2,7,1,,760,1.75213,0.0778366,0.49
True,True,10,0.005,100,100,0.99,3,2,7,1,,770,1.52166,0.0747241,0.56
True,True,10,0.005,100,100,0.99,3,2,7,1,,780,1.1511,0.0665871,0.71
True,True,10,0.005,100,100,0.99,3,2,7,1,,790,0.996809,0.0622262,0.73
True,True,10,0.005,100,100,0.99,3,2,7,1,,800,0.769623,0.055312,0.81
True,True,10,0.005,100,100,0.99,3,2,7,1,,810,4.80885,0.0960561,0.23
True,True,10,0.005,100,100,0.99,3,2,7,1,,820,3.36428,0.09394,0.23
True,True,10,0.005,100,100,0.99,3,2,7,1,,830,2.90428,0.0900078,0.27
True,True,10,0.005,100,100,0.99,3,2,7,1,,840,2.44445,0.0853976,0.43
True,True,10,0.005,100,100,0.99,3,2,7,1,,850,2.09363,0.0812517,0.49
True,True,10,0.005,100,100,0.99,3,2,7,1,,860,1.81692,0.0772195,0.56
True,True,10,0.005,100,100,0.99,3,2,7,1,,870,1.53331,0.0735976,0.59
True,True,10,0.005,100,100,0.99,3,2,7,1,,880,1.30396,0.0686846,0.68
True,True,10,0.005,100,100,0.99,3,2,7,1,,890,1.08264,0.0642328,0.72
