fixed,noise,batches,learning rate,batch_size,per_batch,dropout,k_conv,n_conv1,n_conv2,n_layer,n_steps,train step,xentropy,rmse,accuracy
True,True,10,0.005,100,100,0.99,3,2,7,1,,0,156.974,0.138286,0.01
True,True,10,0.005,100,100,0.99,3,2,7,1,,10,76.5406,0.13564,0.03
True,True,10,0.005,100,100,0.99,3,2,7,1,,20,45.4086,0.134223,0.01
True,True,10,0.005,100,100,0.99,3,2,7,1,,30,31.3386,0.132655,0.02
True,True,10,0.005,100,100,0.99,3,2,7,1,,40,24.7485,0.129356,0.03
True,True,10,0.005,100,100,0.99,3,2,7,1,,50,18.481,0.123596,0.07
True,True,10,0.005,100,100,0.99,3,2,7,1,,60,14.4369,0.120912,0.09
True,True,10,0.005,100,100,0.99,3,2,7,1,,70,11.7583,0.118743,0.11
True,True,10,0.005,100,100,0.99,3,2,7,1,,80,9.88606,0.115732,0.16
True,True,10,0.005,100,100,0.99,3,2,7,1,,90,7.65914,0.109197,0.21
True,True,10,0.005,100,100,0.99,3,2,7,1,,100,5.96132,0.102181,0.28
True,True,10,0.005,100,100,0.99,3,2,7,1,,110,15.2093,0.119356,0.09
True,True,10,0.005,100,100,0.99,3,2,7,1,,120,9.93366,0.113011,0.12
True,True,10,0.005,100,100,0.99,3,2,7,1,,130,6.47057,0.105409,0.22
True,True,10,0.005,100,100,0.99,3,2,7,1,,140,4.28651,0.0963584,0.27
True,True,10,0.005,100,100,0.99,3,2,7,1,,150,3.09992,0.0888041,0.36
True,True,10,0.005,100,100,0.99,3,2,7,1,,160,2.24394,0.0781679,0.51
True,True,10,0.005,100,100,0.99,3,2,7,1,,170,1.39956,0.0648869,0.65
True,True,10,0.005,100,100,0.99,3,2,7,1,,180,1.10034,0.0581187,0.75
True,True,10,0.005,100,100,0.99,3,2,7,1,,190,1.0107,0.0572673,0.75
True,True,10,0.005,100,100,0.99,3,2,7,1,,200,0.778941,0.0537758,0.76
True,True,10,0.005,100,100,0.99,3,2,7,1,,210,9.64464,0.111705,0.1
True,True,10,0.005,100,100,0.99,3,2,7,1,,220,5.82399,0.10208,0.2
True,True,10,0.005,100,100,0.99,3,2,7,1,,230,4.22831,0.0953413,0.26
True,True,10,0.005,100,100,0.99,3,2,7,1,,240,2.79735,0.0852943,0.42
True,True,10,0.005,100,100,0.99,3,2,7,1,,250,2.06676,0.0768981,0.48
True,True,10,0.005,100,100,0.99,3,2,7,1,,260,1.62756,0.0708051,0.58
True,True,10,0.005,100,100,0.99,3,2,7,1,,270,1.41976,0.0674885,0.64
True,True,10,0.005,100,100,0.99,3,2,7,1,,280,0.978983,0.0588403,0.72
True,True,10,0.005,100,100,0.99,3,2,7,1,,290,0.839828,0.0547358,0.79
True,True,10,0.005,100,100,0.99,3,2,7,1,,300,0.738832,0.052482,0.78
True,True,10,0.005,100,100,0.99,3,2,7,1,,310,8.94983,0.10998,0.1
True,True,10,0.005,100,100,0.99,3,2,7,1,,320,5.18184,0.103617,0.15
True,True,10,0.005,100,100,0.99,3,2,7,1,,330,3.683,0.0973929,0.18
True,True,10,0.005,100,100,0.99,3,2,7,1,,340,2.66674,0.0878394,0.36
True,True,10,0.005,100,100,0.99,3,2,7,1,,350,2.0039,0.0805559,0.48
True,True,10,0.005,100,100,0.99,3,2,7,1,,360,1.55535,0.073376,0.59
True,True,10,0.005,100,100,0.99,3,2,7,1,,370,1.14962,0.0636284,0.69
True,True,10,0.005,100,100,0.99,3,2,7,1,,380,0.955001,0.0586653,0.74
True,True,10,0.005,100,100,0.99,3,2,7,1,,390,0.885283,0.056906,0.73
True,True,10,0.005,100,100,0.99,3,2,7,1,,400,0.805031,0.0556011,0.73
True,True,10,0.005,100,100,0.99,3,2,7,1,,410,6.84217,0.104732,0.16
True,True,10,0.005,100,100,0.99,3,2,7,1,,420,3.9459,0.0960819,0.26
True,True,10,0.005,100,100,0.99,3,2,7,1,,430,2.91095,0.0915567,0.28
True,True,10,0.005,100,100,0.99,3,2,7,1,,440,2.17405,0.0833141,0.44
True,True,10,0.005,100,100,0.99,3,2,7,1,,450,1.75311,0.0756914,0.54
True,True,10,0.005,100,100,0.99,3,2,7,1,,460,1.20092,0.0659689,0.67
True,True,10,0.005,100,100,0.99,3,2,7,1,,470,1.00297,0.0609874,0.73
True,True,10,0.005,100,100,0.99,3,2,7,1,,480,0.901126,0.0571145,0.77
True,True,10,0.005,100,100,0.99,3,2,7,1,,490,0.79429,0.0534478,0.78
True,True,10,0.005,100,100,0.99,3,2,7,1,,500,0.680748,0.0485663,0.82
True,True,10,0.005,100,100,0.99,3,2,7,1,,510,6.28994,0.108111,0.09
True,True,10,0.005,100,100,0.99,3,2,7,1,,520,4.01295,0.0989792,0.14
True,True,10,0.005,100,100,0.99,3,2,7,1,,530,3.19169,0.0925519,0.27
True,True,10,0.005,100,100,0.99,3,2,7,1,,540,2.53942,0.0862802,0.37
True,True,10,0.005,100,100,0.99,3,2,7,1,,550,2.14912,0.0817745,0.42
True,True,10,0.005,100,100,0.99,3,2,7,1,,560,1.84864,0.076999,0.51
True,True,10,0.005,100,100,0.99,3,2,7,1,,570,1.5698,0.0720314,0.61
True,True,10,0.005,100,100,0.99,3,2,7,1,,580,1.37765,0.0685306,0.66
True,True,10,0.005,100,100,0.99,3,2,7,1,,590,1.20945,0.0642204,0.66
True,True,10,0.005,100,100,0.99,3,2,7,1,,600,1.09645,0.0627382,0.7
True,True,10,0.005,100,100,0.99,3,2,7,1,,610,5.4121,0.1041,0.15
True,True,10,0.005,100,100,0.99,3,2,7,1,,620,3.54967,0.0973914,0.22
True,True,10,0.005,100,100,0.99,3,2,7,1,,630,2.55672,0.0881028,0.3
