batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,0,49.1013
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,1,40.98
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,2,36.0953
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,3,32.5678
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,4,30.1833
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,5,28.6735
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,6,27.8192
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,7,27.4317
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,8,27.2987
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,9,27.2688
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,10,27.2677
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,11,27.2686
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,12,27.266
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,13,27.2611
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,14,27.2562
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,15,27.2529
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,16,27.2513
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,17,27.2507
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,18,27.2502
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,19,27.2488
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,20,27.246
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,21,27.2415
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,22,27.2354
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,23,27.2281
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,24,27.22
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,25,27.212
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,26,27.2043
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,27,27.1973
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,28,27.191
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,29,27.1855
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,30,27.1808
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,31,27.1767
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,32,27.1734
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,33,27.1707
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,34,27.1686
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,35,27.1671
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,36,27.166
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,37,27.1654
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,38,27.1652
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,39,27.1652
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,40,27.1654
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,41,27.1657
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,42,27.1662
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,43,27.1666
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,44,27.167
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,45,27.1674
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,46,27.1677
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,47,27.1679
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,48,27.168
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,49,27.168
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,50,27.1679
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,51,27.1677
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,52,27.1675
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,53,27.1672
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,54,27.1669
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,55,27.1666
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,56,27.1664
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,57,27.1661
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,58,27.1659
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,59,27.1657
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,60,27.1655
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,61,27.1653
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,62,27.1653
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,63,27.1652
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,64,27.1651
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,65,27.1651
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,66,27.1651
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,67,27.1651
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,68,27.1651
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,69,27.1651
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,70,27.1651
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,71,27.1651
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,72,27.1651
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,73,27.1651
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,74,27.1651
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,75,27.1651
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,76,27.1651
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,77,27.1651
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,78,27.1651
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,79,27.1651
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,80,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,81,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,82,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,83,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,84,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,85,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,86,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,87,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,88,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,89,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,90,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,91,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,92,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,93,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,94,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,95,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,96,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,97,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,98,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,99,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,100,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,-1,24.6048
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,101,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,102,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,103,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,104,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,105,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,106,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,107,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,108,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,109,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,110,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,111,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,112,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,113,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,114,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,115,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,116,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,117,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,118,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,119,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,120,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,121,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,122,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,123,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,124,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,125,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,126,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,127,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,128,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,129,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,130,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,131,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,132,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,133,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,134,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,135,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,136,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,137,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,138,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,139,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,140,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,141,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,142,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,143,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,144,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,145,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,146,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,147,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,148,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,149,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,150,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,151,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,152,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,153,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,154,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,155,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,156,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,157,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,158,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,159,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,160,27.165
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,161,27.165
