batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,0,44.7854
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,1,38.6668
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,2,35.0619
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,3,32.8872
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,4,31.4477
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,5,30.8763
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,6,30.9169
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,7,31.0883
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,8,31.1959
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,9,31.2209
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,10,31.1873
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,11,31.1226
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,12,31.0502
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,13,30.9859
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,14,30.9355
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,15,30.8991
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,16,30.8744
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,17,30.8587
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,18,30.8492
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,19,30.8438
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,20,30.8412
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,21,30.8407
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,22,30.8419
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,23,30.844
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,24,30.8466
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,25,30.8489
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,26,30.8505
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,27,30.851
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,28,30.8506
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,29,30.8496
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,30,30.8483
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,31,30.8469
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,32,30.8456
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,33,30.8443
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,34,30.8429
