batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,0,49.2544
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,1,41.8742
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,2,35.3926
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,3,30.6814
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,4,27.2092
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,5,24.8103
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,6,23.2952
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,7,22.4273
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,8,21.9245
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,9,21.6146
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,10,21.4109
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,11,21.2646
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,12,21.1517
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,13,21.0624
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,14,20.9907
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,15,20.9328
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,16,20.8868
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,17,20.8508
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,18,20.8229
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,19,20.801
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,20,20.7834
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,21,20.7688
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,22,20.7567
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,23,20.7465
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,24,20.738
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,25,20.7308
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,26,20.7246
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,27,20.7187
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,28,20.7129
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,29,20.7069
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,30,20.7007
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,31,20.6945
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,32,20.6887
