batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,0,52.9651
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,1,46.9957
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,2,40.5243
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,3,35.4401
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,4,30.9827
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,5,27.1221
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,6,23.8265
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,7,21.1563
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,8,19.2482
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,9,18.0056
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,10,17.2154
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,11,16.7052
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,12,16.3673
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,13,16.1278
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,14,15.9385
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,15,15.7748
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,16,15.6343
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,17,15.519
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,18,15.4255
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,19,15.3508
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,20,15.2887
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,21,15.2337
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,22,15.1834
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,23,15.1374
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,24,15.0959
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,25,15.0591
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,26,15.0271
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,27,14.9997
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,28,14.9762
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,29,14.9562
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,30,14.9389
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,31,14.9238
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,32,14.9103
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,33,14.898
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,34,14.8869
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,35,14.8773
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,36,14.8696
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,37,14.8638
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,38,14.86
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,39,14.8576
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,40,14.8563
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,41,14.8555
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,42,14.855
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,43,14.8548
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,44,14.8549
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,45,14.8553
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,46,14.8559
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,47,14.8568
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,48,14.8578
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,49,14.8588
