batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,0,43.2632
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,1,763.87
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,2,544.331
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,3,271.964
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,4,188.758
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,5,162.41
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,6,120.615
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,7,69.7007
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,8,40.721
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,9,40.7202
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,10,40.719
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,11,40.7176
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,12,40.7161
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,13,40.7143
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,14,40.7125
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,15,40.7105
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,16,40.7085
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,17,40.7064
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,18,40.7042
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,19,40.7019
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,20,40.6996
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,21,40.6973
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,22,40.6949
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,23,40.6925
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,24,40.69
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,25,40.6876
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,26,40.6851
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,27,40.6825
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,28,40.68
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,29,40.6774
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,30,40.6749
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,31,40.6723
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,32,40.6697
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,33,40.667
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,34,40.6644
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,35,40.6618
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,36,40.6591
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,37,40.6565
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,38,40.6538
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,39,40.6511
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,40,40.6484
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,41,40.6458
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,42,40.6431
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,43,40.6404
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,44,40.6377
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,45,40.635
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,46,40.6322
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,47,40.6295
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,48,40.6268
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,49,40.6241
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,50,40.6214
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,51,40.6186
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,52,40.6159
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,53,40.6132
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,54,40.6104
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,55,40.6077
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,56,40.6049
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,57,40.6022
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,58,40.5994
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,59,40.5967
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,60,40.5939
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,61,40.5912
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,62,40.5884
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,63,40.5856
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,64,40.5829
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,65,40.5801
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,66,40.5773
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,67,40.5746
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,68,40.5718
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,69,40.569
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,70,40.5662
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,71,40.5635
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,72,40.5607
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,73,40.5579
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,74,40.5551
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,75,40.5524
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,76,40.5496
