batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,0,45.7715
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,1,45.7683
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,2,45.7651
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,3,45.7619
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,4,45.7588
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,5,45.7556
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,6,45.7524
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,7,45.7492
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,8,45.7461
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,9,45.7429
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,10,45.7397
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,11,45.7366
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,12,45.7334
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,13,45.7302
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,14,45.7271
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,15,45.7239
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,16,45.7207
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,17,45.7176
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,18,45.7144
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,19,45.7112
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,20,45.7081
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,21,45.7049
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,22,45.7017
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,23,45.6986
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,24,45.6954
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,25,45.6923
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,26,45.6891
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,27,45.6859
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,28,45.6828
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,29,45.6796
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,30,45.6765
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,31,45.6733
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,32,45.6701
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,33,45.667
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,34,45.6638
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,35,45.6607
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,36,45.6575
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,37,45.6543
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,38,45.6512
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,39,45.648
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,40,45.6449
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,41,45.6417
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,42,45.6386
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,43,45.6354
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,44,45.6323
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,45,45.6291
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,46,45.6259
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,47,45.6228
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,48,45.6196
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,49,45.6165
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,50,45.6133
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,51,45.6102
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,52,45.607
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,53,45.6039
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,54,45.6007
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,55,45.5976
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,56,45.5944
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,57,45.5913
