batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,0,38.6392
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,1,579.306
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,2,316.003
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,3,207.483
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,4,197.883
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,5,161.875
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,6,127.666
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,7,101.689
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,8,80.2013
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,9,61.1853
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,10,44.4314
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,11,39.3313
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,12,39.3299
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,13,39.3285
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,14,39.327
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,15,39.3255
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,16,39.3239
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,17,39.3222
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,18,39.3205
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,19,39.3187
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,20,39.317
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,21,39.3151
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,22,39.3133
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,23,39.3114
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,24,39.3095
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,25,39.3076
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,26,39.3057
