batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,0,51.105
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,1,45.6178
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,2,18.5446
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,3,22.3438
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,4,24.4434
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,5,26.5098
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,6,23.1165
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,7,23.0255
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,8,20.4936
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,9,18.6577
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,10,18.3585
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,11,17.2154
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,12,18.3883
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,13,17.394
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,14,18.9585
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,15,17.9336
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,16,19.0932
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,17,18.1277
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,18,18.7423
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,19,17.9143
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,20,18.1328
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,21,17.5599
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,22,17.5704
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,23,17.2344
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,24,17.2832
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,25,17.1326
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,26,17.2203
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,27,17.1616
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,28,17.2907
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,29,17.2276
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,30,17.3389
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,31,17.2157
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,32,17.315
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,33,17.1234
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,34,17.2306
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,35,16.9917
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,36,17.1364
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,37,16.8964
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,38,17.068
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,39,16.8713
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,40,17.0273
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,41,16.9093
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,42,16.9951
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,43,16.97
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,44,16.9574
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,45,17.0054
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,46,16.9196
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,47,16.9911
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,48,16.9005
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,49,16.9378
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,50,16.9059
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,51,16.8837
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,52,16.9159
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,53,16.8665
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,54,16.9077
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,55,16.8876
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,56,16.8864
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,57,16.9088
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,58,16.8782
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,59,16.8986
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,60,16.8879
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,61,16.8734
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,62,16.8887
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,63,16.8689
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,64,16.8707
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,65,16.8779
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,66,16.8637
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,67,16.8723
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,68,16.8743
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,69,16.8651
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,70,16.8728
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,71,16.8715
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,72,16.864
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,73,16.8689
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,74,16.867
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,75,16.861
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,76,16.8644
