batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,0,76.3542
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,1,73.5601
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,2,70.8475
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,3,68.2238
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,4,65.6899
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,5,63.2445
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,6,60.8881
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,7,58.6248
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,8,56.4568
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,9,54.3845
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,10,52.4052
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,11,50.5198
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,12,48.7266
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,13,47.024
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,14,45.4122
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,15,43.8875
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,16,42.4495
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,17,41.0946
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,18,39.8198
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,19,38.6223
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,20,37.4984
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,21,36.446
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,22,35.4592
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,23,34.5331
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,24,33.6638
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,25,32.8458
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,26,32.0726
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,27,31.3379
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,28,30.6355
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,29,29.9596
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,30,29.3042
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,31,28.6642
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,32,28.0353
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,33,27.4151
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,34,26.8029
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,35,26.1986
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,36,25.6034
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,37,25.0187
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,38,24.4467
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,39,23.8897
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,40,23.3496
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,41,22.8279
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,42,22.3258
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,43,21.8437
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,44,21.3807
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,45,20.935
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,46,20.5049
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,47,20.0889
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,48,19.6859
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,49,19.2945
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,50,18.913
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,51,18.541
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,52,18.1772
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,53,17.821
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,54,17.4726
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,55,17.1317
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,56,16.799
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,57,16.4745
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,58,16.1585
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,59,15.8511
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,60,15.5525
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,61,15.2621
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,62,14.9793
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,63,14.7035
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,64,14.4336
