batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,0,101.881
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,1,98.7348
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,2,95.6252
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,3,92.5587
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,4,89.5372
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,5,86.562
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,6,83.6382
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,7,80.7681
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,8,77.9545
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,9,75.1994
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,10,72.5092
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,11,69.8889
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,12,67.3406
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,13,64.8669
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,14,62.4692
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,15,60.1503
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,16,57.914
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,17,55.7637
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,18,53.7034
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,19,51.7322
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,20,49.8518
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,21,48.0634
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,22,46.3666
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,23,44.7637
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,24,43.2519
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,25,41.8314
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,26,40.5012
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,27,39.2588
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,28,38.1022
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,29,37.0275
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,30,36.0321
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,31,35.1094
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,32,34.2541
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,33,33.4609
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,34,32.7239
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,35,32.0369
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,36,31.3944
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,37,30.7899
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,38,30.2178
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,39,29.6718
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,40,29.1461
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,41,28.636
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,42,28.1375
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,43,27.6478
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,44,27.1639
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,45,26.6839
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,46,26.2077
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,47,25.7355
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,48,25.268
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,49,24.8066
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,50,24.3519
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,51,23.9051
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,52,23.4687
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,53,23.0444
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,54,22.6326
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,55,22.2337
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,56,21.8481
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,57,21.476
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,58,21.1164
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,59,20.7686
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,60,20.4314
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,61,20.1035
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,62,19.7838
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,63,19.4714
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,64,19.1648
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,65,18.8637
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,66,18.5676
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,67,18.2765
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,68,17.9899
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,69,17.7079
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,70,17.4306
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,71,17.1583
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,72,16.8914
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,73,16.6301
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,74,16.3746
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,75,16.125
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,76,15.8807
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,77,15.6418
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,78,15.408
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,79,15.1786
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,80,14.9535
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,81,14.7329
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,82,14.5162
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,83,14.3038
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,84,14.095
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,85,13.8901
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,86,13.6887
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,87,13.4908
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,88,13.2962
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,89,13.105
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,90,12.9171
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,91,12.7326
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,92,12.5515
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,93,12.3738
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,94,12.1992
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,95,12.0274
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,96,11.8583
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,97,11.6918
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,98,11.528
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,99,11.367
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,100,11.2088
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,-1,32.5539
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,101,11.0532
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,102,10.9001
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,103,10.7494
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,104,10.6009
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,105,10.4548
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,106,10.3111
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,107,10.1696
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,108,10.0304
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,109,9.89329
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,110,9.75849
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,111,9.62592
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,112,9.49558
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,113,9.36746
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,114,9.24143
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,115,9.11753
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,116,8.99573
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,117,8.87586
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,118,8.75786
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,119,8.64181
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,120,8.52759
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,121,8.41519
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,122,8.30462
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,123,8.19576
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,124,8.08854
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,125,7.98288
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,126,7.87902
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,127,7.77683
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,128,7.67617
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,129,7.57697
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,130,7.47923
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,131,7.38295
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,132,7.28824
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,133,7.19496
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,134,7.10307
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,135,7.01249
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,136,6.92316
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,137,6.83517
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,138,6.74844
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,139,6.66299
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,140,6.57889
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,141,6.49611
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,142,6.41466
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,143,6.3342
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,144,6.25495
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,145,6.17712
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,146,6.10061
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,147,6.02533
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,148,5.95117
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,149,5.87805
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,150,5.80589
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,151,5.73467
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,152,5.66454
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,153,5.59532
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,154,5.52709
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,155,5.45995
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,156,5.39388
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,157,5.32876
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,158,5.26468
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,159,5.20149
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,160,5.13931
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,161,5.0779
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,162,5.01733
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,163,4.95761
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,164,4.89866
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,165,4.84074
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,166,4.78364
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,167,4.72733
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,168,4.67175
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,169,4.61686
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,170,4.56263
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,171,4.50915
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,172,4.45634
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,173,4.40425
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,174,4.35276
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,175,4.30195
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,176,4.25179
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,177,4.20224
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,178,4.15337
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,179,4.10503
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,180,4.05726
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,181,4.01007
