batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,0,93.3837
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,1,90.1059
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,2,86.8808
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,3,83.7085
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,4,80.5926
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,5,77.5349
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,6,74.536
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,7,71.5984
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,8,68.7253
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,9,65.9213
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,10,63.1917
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,11,60.5413
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,12,57.9765
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,13,55.5035
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,14,53.1275
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,15,50.8564
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,16,48.6978
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,17,46.6593
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,18,44.7453
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,19,42.9629
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,20,41.3139
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,21,39.7977
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,22,38.4113
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,23,37.1509
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,24,36.0082
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,25,34.9745
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,26,34.0373
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,27,33.1846
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,28,32.4025
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,29,31.6786
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,30,31.0008
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,31,30.3593
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,32,29.7456
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,33,29.1522
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,34,28.5749
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,35,28.0101
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,36,27.4563
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,37,26.9127
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,38,26.379
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,39,25.8552
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,40,25.3419
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,41,24.8399
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,42,24.3498
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,43,23.8705
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,44,23.4017
