batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,0,72.6421
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,1,70.0773
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,2,67.5788
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,3,65.1496
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,4,62.7922
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,5,60.5083
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,6,58.3008
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,7,56.171
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,8,54.1205
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,9,52.1507
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,10,50.2619
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,11,48.4547
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,12,46.7303
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,13,45.0885
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,14,43.5289
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,15,42.0517
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,16,40.6576
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,17,39.3455
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,18,38.1134
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,19,36.9578
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,20,35.8762
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,21,34.8639
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,22,33.9168
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,23,33.0285
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,24,32.1925
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,25,31.4026
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,26,30.6516
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,27,29.9342
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,28,29.2453
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,29,28.5807
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,30,27.9356
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,31,27.3069
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,32,26.6931
