batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,0,44.2813
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,1,41.5174
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,2,38.9707
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,3,37.0782
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,4,35.622
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,5,34.1685
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,6,33.7106
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,7,32.7482
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,8,32.149
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,9,32.0338
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,10,31.2646
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,11,31.1991
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,12,30.6703
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,13,30.4061
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,14,30.2638
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,15,29.9026
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,16,29.5691
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,17,29.258
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,18,28.954
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,19,28.678
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,20,28.389
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,21,28.0008
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,22,27.6743
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,23,27.2604
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,24,26.9754
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,25,26.6767
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,26,26.4525
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,27,26.1559
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,28,25.8953
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,29,25.6327
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,30,25.4161
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,31,25.2518
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,32,25.0474
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,33,24.8435
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,34,24.6123
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,35,24.4428
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,36,24.8014
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,37,24.0183
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,38,23.8276
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,39,23.7424
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,40,23.4795
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,41,23.288
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,42,23.089
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,43,22.8894
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,44,22.7243
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,45,22.5521
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,46,22.3816
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,47,22.1937
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,48,21.9969
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,49,21.9431
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,50,21.8494
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,51,21.6296
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,52,21.2844
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,53,21.1845
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,54,20.973
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,55,20.7554
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,56,20.5638
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,57,20.5549
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,58,20.3886
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,59,20.2133
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,60,20.0421
