batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,0,49.6753
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,1,46.631
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,2,44.1972
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,3,42.1732
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,4,40.4929
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,5,39.1221
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,6,38.0308
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,7,37.2396
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,8,36.6116
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,9,36.0526
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,10,35.6335
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,11,35.4005
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,12,34.9907
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,13,34.606
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,14,34.579
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,15,34.0181
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,16,33.8719
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,17,33.6076
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,18,33.3529
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,19,33.1117
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,20,32.8674
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,21,32.6055
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,22,32.3573
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,23,32.107
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,24,31.8618
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,25,31.6144
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,26,31.4036
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,27,31.1673
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,28,30.9683
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,29,31.5949
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,30,31.5923
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,31,31.4063
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,32,31.3844
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,33,31.2269
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,34,31.0334
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,35,30.8362
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,36,30.6351
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,37,30.3985
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,38,30.2079
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,39,30.0382
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,40,29.8789
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,41,29.7235
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,42,29.569
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,43,29.4161
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,44,29.2643
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,45,29.1138
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,46,28.9643
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,47,28.816
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,48,28.668
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,49,28.5182
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,50,28.3642
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,51,28.2057
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,52,28.051
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,53,27.9096
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,54,27.7762
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,55,27.6495
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,56,27.5242
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,57,27.4014
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,58,27.2739
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,59,27.1533
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,60,27.0364
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,61,26.9163
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,62,26.8233
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,63,26.7009
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,64,26.586
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,65,26.4643
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,66,26.3664
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,67,26.2588
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,68,26.1797
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,69,26.0663
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,70,25.9589
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,71,25.8629
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,72,25.7775
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,73,25.6944
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,74,25.6072
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,75,25.515
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,76,25.4221
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,77,25.3335
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,78,25.2503
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,79,25.1685
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,80,25.0885
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,81,25.0099
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,82,24.9322
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,83,24.8568
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,84,24.7821
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,85,24.7063
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,86,24.6246
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,87,24.4952
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,88,24.3638
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,89,24.2744
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,90,24.1955
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,91,24.1168
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,92,24.0349
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,93,23.9335
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,94,23.6968
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,95,23.6196
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,96,23.5313
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,97,23.4443
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,98,23.3593
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,99,23.2738
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,100,23.1844
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,-1,28.7072
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,101,23.0945
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,102,22.9938
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,103,22.8857
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,104,22.7719
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,105,22.6692
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,106,22.5697
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,107,22.5411
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,108,22.3961
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,109,22.3118
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,110,22.2345
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,111,22.1361
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,112,22.6768
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,113,22.5937
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,114,22.5138
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,115,22.434
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,116,22.3556
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,117,22.2794
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,118,22.2058
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,119,22.127
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,120,22.0591
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,121,21.9959
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,122,21.934
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,123,21.873
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,124,21.813
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,125,21.7541
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,126,21.6957
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,127,21.6312
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,128,21.5698
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,129,21.5192
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,130,21.4728
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,131,21.4249
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,132,21.3752
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,133,21.3251
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,134,21.2747
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,135,21.2274
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,136,21.1832
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,137,21.1419
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,138,21.1026
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,139,21.0644
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,140,21.0268
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,141,20.99
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,142,20.9541
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,143,20.9192
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,144,20.8854
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,145,20.8527
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,146,20.821
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,147,20.7901
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,148,20.76
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,149,20.7302
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,150,20.7005
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,151,20.6706
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,152,20.6395
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,153,20.6068
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,154,20.5759
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,155,20.5503
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,156,20.5258
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,157,20.4986
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,158,20.4685
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,159,20.4366
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,160,20.4084
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,161,20.3844
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,162,20.3607
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,163,20.3342
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,164,20.3082
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,165,20.285
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,166,20.2614
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,167,20.2358
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,168,20.209
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,169,20.1819
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,170,20.1538
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,171,20.1288
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,172,20.1056
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,173,20.0817
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,174,20.0581
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,175,20.0346
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,176,20.0112
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,177,19.9875
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,178,19.9629
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,179,19.9382
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,180,19.9137
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,181,19.8895
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,182,19.8652
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,183,19.8437
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,184,19.8179
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,185,19.7933
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,186,19.7649
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,187,19.7322
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,188,19.6973
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,189,19.6631
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,190,19.6321
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,191,19.6059
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,192,19.5842
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,193,19.5641
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,194,19.5438
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,195,19.5239
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,196,19.5052
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,197,19.4873
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,198,19.4691
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,199,19.4506
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,200,19.4328
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,-1,26.8063
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,201,19.4144
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,202,19.3971
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,203,19.3792
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,204,19.3597
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,205,19.3402
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,206,19.3214
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,207,19.304
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,208,19.2885
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,209,19.2739
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,210,19.2595
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,211,19.2446
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,212,19.2289
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,213,19.2127
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,214,19.1967
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,215,19.1811
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,216,19.1657
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,217,19.1505
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,218,19.1355
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,219,19.12
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,220,19.1042
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,221,19.0884
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,222,19.0723
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,223,19.0558
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,224,19.0404
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,225,19.0259
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,226,19.0115
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,227,18.9958
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,228,18.98
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,229,18.965
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,230,18.9506
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,231,18.9362
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,232,18.9215
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,233,18.905
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,234,18.8922
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,235,18.8736
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,236,18.8585
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,237,18.8451
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,238,18.8313
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,239,18.8169
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,240,18.8025
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,241,18.7887
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,242,18.7752
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,243,18.7619
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,244,18.7481
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,245,18.735
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,246,18.7218
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,247,18.7088
