batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,0,51.0351
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,1,47.9938
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,2,44.6119
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,3,42.019
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,4,39.7845
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,5,38.049
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,6,36.6675
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,7,35.6321
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,8,35.2138
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,9,34.466
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,10,33.889
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,11,33.5479
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,12,33.0714
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,13,32.7773
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,14,32.5155
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,15,32.1531
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,16,31.9892
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,17,31.7477
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,18,31.5024
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,19,31.2755
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,20,31.4861
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,21,31.1745
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,22,30.8654
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,23,30.6126
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,24,30.3743
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,25,30.1322
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,26,29.9058
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,27,29.7478
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,28,29.5286
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,29,29.3082
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,30,29.1125
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,31,28.9376
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,32,28.7197
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,33,28.5353
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,34,28.363
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,35,28.2117
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,36,28.1455
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,37,28.1299
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,38,27.9454
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,39,27.9536
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,40,27.7817
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,41,27.6573
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,42,27.5488
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,43,27.3947
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,44,27.2567
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,45,27.0319
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,46,26.8818
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,47,26.7368
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,48,26.5281
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,49,26.3609
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,50,26.3097
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,51,26.0523
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,52,25.9308
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,53,25.8038
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,54,25.687
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,55,25.5538
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,56,25.4245
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,57,25.2961
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,58,25.178
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,59,25.0546
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,60,24.9337
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,61,24.8406
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,62,24.6966
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,63,24.5782
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,64,24.4627
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,65,24.3419
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,66,24.2088
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,67,24.0874
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,68,23.9595
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,69,23.8348
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,70,23.722
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,71,23.6207
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,72,23.5205
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,73,23.4176
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,74,23.3149
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,75,23.2135
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,76,23.1132
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,77,23.0108
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,78,22.8715
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,79,22.7668
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,80,22.6604
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,81,22.5815
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,82,22.9021
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,83,22.6821
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,84,22.5158
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,85,22.3964
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,86,22.2835
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,87,22.171
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,88,22.0505
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,89,21.9122
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,90,21.8094
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,91,21.7072
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,92,21.6086
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,93,21.5153
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,94,21.4182
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,95,21.3145
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,96,21.1988
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,97,21.046
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,98,20.8664
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,99,20.6879
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,100,20.5533
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,-1,30.2888
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,101,20.3726
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,102,20.1773
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,103,19.9782
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,104,19.7876
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,105,19.62
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,106,19.9825
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,107,19.3052
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,108,19.3974
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,109,19.2022
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,110,19.0323
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,111,18.939
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,112,18.7391
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,113,18.4579
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,114,18.2423
