batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,0,50.5292
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,1,47.651
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,2,44.4096
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,3,41.6201
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,4,39.1875
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,5,37.1872
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,6,35.5595
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,7,34.3736
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,8,33.5381
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,9,32.9147
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,10,32.3936
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,11,31.9306
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,12,31.5221
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,13,31.1483
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,14,30.7993
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,15,30.466
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,16,30.1428
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,17,29.8275
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,18,29.5188
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,19,29.2151
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,20,28.9152
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,21,28.6188
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,22,28.3258
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,23,28.0365
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,24,27.7507
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,25,27.4685
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,26,27.1898
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,27,26.9144
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,28,26.642
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,29,26.3724
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,30,26.1054
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,31,25.8407
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,32,25.5782
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,33,25.3177
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,34,25.059
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,35,24.8019
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,36,24.5465
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,37,24.2927
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,38,24.0404
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,39,23.7897
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,40,23.5406
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,41,23.2932
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,42,23.0475
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,43,22.8035
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,44,22.5612
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,45,22.3208
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,46,22.0823
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,47,21.8458
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,48,21.6114
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,49,21.3791
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,50,21.149
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,51,20.9211
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,52,20.6955
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,53,20.4721
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,54,20.2512
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,55,20.0325
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,56,19.8162
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,57,19.6022
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,58,19.3905
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,59,19.1812
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,60,18.9743
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,61,18.7698
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,62,18.5678
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,63,18.3683
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,64,18.1714
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,65,17.9772
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,66,17.7857
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,67,17.597
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,68,17.4112
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,69,17.2283
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,70,17.0485
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,71,16.8716
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,72,16.6979
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,73,16.5274
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,74,16.3601
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,75,16.196
