batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,0,5.33312
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,1,0.244164
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,2,0.0970796
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,3,0.0544721
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,4,0.00174756
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,5,0.00331882
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,6,0.00353657
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,7,0.0110194
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,8,0.00186266
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,9,0.00102344
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,10,0.000662866
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,11,0.000594281
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,12,0.000880945
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,13,0.00104263
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,14,0.000456807
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,15,0.000208142
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,16,0.000132967
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,17,0.000120457
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,18,0.000120591
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,19,7.16675e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,20,5.14049e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,21,4.08116e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,22,3.33172e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,23,2.7551e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,24,2.31555e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,25,1.98924e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,26,1.72848e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,27,1.52435e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,28,1.3515e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,29,1.20995e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,30,1.0818e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,31,9.5366e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,32,7.91243e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,33,6.49685e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,34,5.91572e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,35,5.6028e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,36,5.34949e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,37,5.12597e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,38,4.88756e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,39,4.72365e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,40,4.57464e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,41,4.36602e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,42,4.18721e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,43,4.0531e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,44,3.90409e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,45,3.75508e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,46,3.62097e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,47,3.50176e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,48,3.39746e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,49,3.29315e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,50,3.15904e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,51,3.11434e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,52,3.01003e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,53,2.93552e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,54,2.84612e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,55,2.77161e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,56,2.6822e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,57,2.6077e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,58,2.50339e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,59,2.47359e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,60,2.38418e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,61,2.35438e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,62,2.29477e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,63,2.27987e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,64,2.23517e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,65,2.22027e-06
