batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,0,6.35969
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,1,0.929656
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,2,0.0876194
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,3,0.0048521
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,4,0.00895341
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,5,0.00221382
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,6,0.000644806
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,7,0.000632484
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,8,0.00181952
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,9,0.0019827
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,10,0.000585844
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,11,0.000327154
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,12,0.000254022
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,13,0.000229742
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,14,0.000178169
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,15,0.000148526
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,16,0.000140124
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,17,0.000125051
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,18,0.000104522
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,19,8.46586e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,20,6.58665e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,21,5.11363e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,22,4.12915e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,23,3.50457e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,24,3.08738e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,25,2.75123e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,26,2.43892e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,27,2.14807e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,28,1.88702e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,29,1.6665e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,30,1.49127e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,31,1.353e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,32,1.23975e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,33,1.1575e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,34,1.08717e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,35,1.02638e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,36,9.79886e-06
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,37,9.39356e-06
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,38,9.03594e-06
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,39,8.73793e-06
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,40,8.47567e-06
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,41,8.2015e-06
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,42,7.96309e-06
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,43,7.74851e-06
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,44,7.59355e-06
