batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,0,6.67334
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,1,1.95927
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,2,0.923931
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,3,0.0267496
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,4,0.0824015
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,5,0.0125181
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,6,0.00822647
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,7,0.00390132
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,8,0.00220368
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,9,0.00231013
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,10,0.00241989
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,11,0.00170578
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,12,0.00103794
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,13,0.000680538
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,14,0.00047293
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,15,0.000345008
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,16,0.00027512
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,17,0.000236232
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,18,0.000212065
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,19,0.000194479
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,20,0.000179422
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,21,0.000164604
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,22,0.000148833
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,23,0.000131737
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,24,0.000114243
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,25,9.77294e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,26,8.41283e-05
