batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,0,5.38614
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,1,0.527811
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,2,1.19996
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,3,0.472433
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,4,0.0933847
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,5,0.00345124
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,6,0.00404177
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,7,0.0134615
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,8,0.00691501
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,9,0.0271317
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,10,0.00218714
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,11,0.00186581
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,12,0.00211468
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,13,0.00320304
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,14,0.00102213
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,15,0.000683476
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,16,0.00771414
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,17,0.000120858
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,18,0.000113498
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,19,0.000183585
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,20,0.000232771
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,21,0.0002248
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,22,0.000281732
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,23,0.000366962
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,24,0.000441031
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,25,0.000447896
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,26,0.000370915
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,27,0.000261522
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,28,0.00017176
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,29,0.000113904
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,30,7.93326e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,31,5.82167e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,32,4.4327e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,33,3.47264e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,34,2.80652e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,35,2.35492e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,36,2.02779e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,37,1.7788e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,38,1.58808e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,39,1.43842e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,40,1.32319e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,41,1.22386e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,42,1.14704e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,43,1.08346e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,44,1.02651e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,45,9.81476e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,46,9.41741e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,47,9.07304e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,48,8.80814e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,49,8.51675e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,50,8.29158e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,51,8.07966e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,52,7.90747e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,53,7.74853e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,54,7.58959e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,55,7.44389e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,56,7.27171e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,57,7.16574e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,58,7.07303e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,59,6.98031e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,60,6.88759e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,61,6.82137e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,62,6.75514e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,63,6.66242e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,64,6.5962e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,65,6.54322e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,66,6.4505e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,67,6.41077e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,68,6.37103e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,69,6.3048e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,70,6.23858e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,71,6.17235e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,72,6.14586e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,73,6.10612e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,74,6.06639e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,75,6.01341e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,76,5.98692e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,77,5.96043e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,78,5.88095e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,79,5.85446e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,80,5.81473e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,81,5.78824e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,82,5.76175e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,83,5.73526e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,84,5.69552e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,85,5.66903e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,86,5.61605e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,87,5.6028e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,88,5.56307e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,89,5.52333e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,90,5.51009e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,91,5.47035e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,92,5.44386e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,93,5.41737e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,94,5.37763e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,95,5.36439e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,96,5.31141e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,97,5.29816e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,98,5.28492e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,99,5.27167e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,100,5.24518e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,-1,12.3247
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,101,5.21869e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,102,5.17895e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,103,5.13922e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,104,5.11273e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,105,5.11273e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,106,5.05975e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,107,5.05975e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,108,5.03325e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,109,5.00676e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,110,5.00676e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,111,4.98027e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,112,4.94054e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,113,4.92729e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,114,4.9008e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,115,4.87431e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,116,4.83457e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,117,4.78159e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,118,4.78159e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,119,4.7551e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,120,4.7551e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,121,4.72861e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,122,4.71537e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,123,4.70212e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,124,4.66238e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,125,4.64914e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,126,4.6359e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,127,4.62265e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,128,4.6094e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,129,4.59616e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,130,4.55642e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,131,4.52993e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,132,4.4902e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,133,4.4902e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,134,4.47695e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,135,4.46371e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,136,4.42397e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,137,4.42397e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,138,4.39748e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,139,4.38423e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,140,4.3445e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,141,4.3445e-06
