batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,0,63.9069
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,1,56.5193
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,2,50.0462
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,3,44.6053
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,4,40.1948
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,5,36.7035
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,6,33.9938
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,7,31.9202
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,8,30.2924
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,9,28.8884
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,10,27.5266
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,11,26.1131
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,12,24.6531
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,13,23.2289
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,14,21.9597
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,15,20.9487
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,16,20.236
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,17,19.785
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,18,19.5064
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,19,19.3016
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,20,19.0891
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,21,18.8188
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,22,18.4695
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,23,18.05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,24,17.5912
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,25,17.1311
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,26,16.7048
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,27,16.3274
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,28,15.9959
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,29,15.6943
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,30,15.4015
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,31,15.1015
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,32,14.7905
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,33,14.4754
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,34,14.1681
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,35,13.8817
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,36,13.6271
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,37,13.4057
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,38,13.2136
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,39,13.041
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,40,12.8781
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,41,12.7175
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,42,12.5548
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,43,12.3888
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,44,12.2216
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,45,12.0565
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,46,11.8951
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,47,11.7379
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,48,11.5844
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,49,11.4329
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,50,11.2825
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,51,11.1344
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,52,10.9907
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,53,10.8543
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,54,10.7268
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,55,10.609
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,56,10.4999
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,57,10.3969
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,58,10.2972
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,59,10.1983
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,60,10.0987
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,61,9.9976
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,62,9.89632
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,63,9.79607
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,64,9.69754
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,65,9.60167
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,66,9.50865
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,67,9.4188
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,68,9.33217
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,69,9.24836
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,70,9.16774
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,71,9.09001
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,72,9.01446
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,73,8.94058
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,74,8.86783
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,75,8.79615
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,76,8.72548
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,77,8.65568
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,78,8.58667
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,79,8.51902
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,80,8.45321
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,81,8.38946
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,82,8.32789
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,83,8.26827
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,84,8.21022
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,85,8.15342
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,86,8.09758
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,87,8.04267
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,88,7.9891
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,89,7.9366
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,90,7.88517
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,91,7.83469
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,92,7.78503
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,93,7.73617
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,94,7.68825
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,95,7.64124
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,96,7.59503
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,97,7.54974
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,98,7.50548
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,99,7.46186
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,100,7.41908
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,-1,8.55838
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,101,7.37714
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,102,7.33586
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,103,7.29528
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,104,7.25518
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,105,7.21565
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,106,7.17682
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,107,7.13874
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,108,7.10126
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,109,7.06437
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,110,7.02824
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,111,6.99272
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,112,6.95792
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,113,6.92362
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,114,6.88993
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,115,6.85703
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,116,6.82472
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,117,6.7929
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,118,6.76158
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,119,6.73082
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,120,6.70067
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,121,6.67104
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,122,6.64193
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,123,6.6133
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,124,6.58507
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,125,6.5573
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,126,6.52998
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,127,6.50307
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,128,6.47657
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,129,6.45055
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,130,6.42491
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,131,6.39968
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,132,6.37489
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,133,6.35052
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,134,6.32657
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,135,6.30312
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,136,6.28008
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,137,6.25747
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,138,6.23523
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,139,6.2134
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,140,6.19174
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,141,6.17044
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,142,6.14946
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,143,6.1288
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,144,6.10841
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,145,6.08819
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,146,6.06822
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,147,6.04855
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,148,6.0292
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,149,6.01013
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,150,5.99136
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,151,5.97284
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,152,5.95463
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,153,5.93669
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,154,5.91907
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,155,5.90172
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,156,5.88465
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,157,5.86791
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,158,5.85145
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,159,5.83524
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,160,5.81917
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,161,5.80327
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,162,5.78759
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,163,5.77213
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,164,5.75686
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,165,5.74177
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,166,5.7269
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,167,5.71227
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,168,5.69799
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,169,5.68383
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,170,5.66989
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,171,5.65615
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,172,5.64259
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,173,5.62921
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,174,5.616
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,175,5.60293
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,176,5.58997
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,177,5.57713
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,178,5.56441
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,179,5.55183
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,180,5.53942
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,181,5.52715
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,182,5.51497
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,183,5.50292
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,184,5.49094
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,185,5.47906
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,186,5.46727
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,187,5.45568
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,188,5.44424
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,189,5.4329
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,190,5.42157
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,191,5.41031
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,192,5.39926
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,193,5.38821
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,194,5.37733
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,195,5.36649
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,196,5.35577
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,197,5.34518
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,198,5.33471
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,199,5.3244
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,200,5.31425
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,-1,6.53772
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,201,5.30413
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,202,5.29425
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,203,5.28434
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,204,5.27446
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,205,5.26485
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,206,5.25534
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,207,5.24598
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,208,5.23635
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,209,5.22704
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,210,5.2177
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,211,5.20845
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,212,5.19927
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,213,5.19018
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,214,5.18119
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,215,5.1721
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,216,5.1634
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,217,5.15457
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,218,5.14579
