batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,0,67.8545
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,1,62.0851
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,2,56.8069
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,3,52.0374
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,4,47.789
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,5,44.0537
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,6,40.7903
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,7,37.9432
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,8,35.4528
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,9,33.2632
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,10,31.329
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,11,29.6056
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,12,28.0508
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,13,26.6285
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,14,25.3122
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,15,24.09
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,16,22.9615
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,17,21.9364
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,18,21.0265
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,19,20.2431
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,20,19.5845
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,21,19.0409
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,22,18.5894
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,23,18.1986
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,24,17.8373
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,25,17.4793
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,26,17.1052
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,27,16.7075
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,28,16.2882
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,29,15.8547
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,30,15.4189
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,31,14.9909
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,32,14.58
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,33,14.1924
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,34,13.8302
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,35,13.4919
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,36,13.1753
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,37,12.8786
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,38,12.6021
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,39,12.3473
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,40,12.1145
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,41,11.905
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,42,11.7161
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,43,11.5455
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,44,11.387
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,45,11.2369
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,46,11.0894
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,47,10.9419
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,48,10.7915
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,49,10.6373
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,50,10.4807
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,51,10.3238
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,52,10.1699
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,53,10.0214
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,54,9.87989
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,55,9.74613
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,56,9.62035
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,57,9.50215
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,58,9.39055
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,59,9.28421
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,60,9.18309
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,61,9.08702
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,62,8.99515
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,63,8.90654
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,64,8.82041
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,65,8.7359
