batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,0,42.8018
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,1,35.5956
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,2,30.2108
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,3,27.1678
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,4,26.3372
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,5,26.7425
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,6,27.1343
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,7,26.8784
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,8,25.9372
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,9,24.5326
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,10,22.977
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,11,21.6002
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,12,20.6411
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,13,20.1455
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,14,19.9434
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,15,19.7757
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,16,19.4524
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,17,18.9148
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,18,18.2127
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,19,17.4574
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,20,16.7784
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,21,16.2772
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,22,15.9757
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,23,15.8056
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,24,15.6492
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,25,15.4139
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,26,15.0774
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,27,14.6837
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,28,14.3052
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,29,14.0004
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,30,13.787
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,31,13.6387
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,32,13.5047
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,33,13.3382
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,34,13.1205
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,35,12.869
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,36,12.6239
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,37,12.4173
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,38,12.2519
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,39,12.1067
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,40,11.9535
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,41,11.7782
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,42,11.5849
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,43,11.3914
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,44,11.2187
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,45,11.074
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,46,10.9448
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,47,10.8114
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,48,10.6653
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,49,10.5131
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,50,10.3671
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,51,10.2375
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,52,10.1248
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,53,10.0182
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,54,9.90672
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,55,9.78818
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,56,9.66975
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,57,9.56008
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,58,9.46107
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,59,9.3673
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,60,9.27163
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,61,9.17203
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,62,9.07201
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,63,8.97788
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,64,8.89188
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,65,8.80972
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,66,8.72654
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,67,8.64111
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,68,8.55635
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,69,8.47612
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,70,8.40144
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,71,8.3294
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,72,8.25684
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,73,8.18371
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,74,8.11249
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,75,8.04494
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,76,7.98073
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,77,7.91759
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,78,7.85392
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,79,7.79087
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,80,7.73023
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,81,7.67229
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,82,7.61603
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,83,7.55996
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,84,7.50428
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,85,7.44994
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,86,7.39781
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,87,7.3472
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,88,7.29718
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,89,7.24765
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,90,7.1993
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,91,7.15266
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,92,7.10725
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,93,7.06258
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,94,7.01838
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,95,6.97541
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,96,6.93376
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,97,6.89286
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,98,6.85271
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,99,6.81319
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,100,6.77467
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,-1,8.69729
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,101,6.73718
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,102,6.70032
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,103,6.66422
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,104,6.62883
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,105,6.59442
