batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,0,57.3549
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,1,49.1837
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,2,42.5129
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,3,37.7444
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,4,34.9933
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,5,33.6487
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,6,32.7027
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,7,31.5153
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,8,29.9561
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,9,28.1791
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,10,26.4294
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,11,24.9314
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,12,23.8181
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,13,23.0826
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,14,22.5725
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,15,22.0718
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,16,21.4106
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,17,20.5379
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,18,19.5169
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,19,18.4829
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,20,17.5863
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,21,16.9275
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,22,16.5108
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,23,16.2458
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,24,16.007
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,25,15.7067
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,26,15.3259
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,27,14.9098
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,28,14.5304
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,29,14.2391
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,30,14.0333
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,31,13.859
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,32,13.6537
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,33,13.3901
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,34,13.0904
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,35,12.8053
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,36,12.5755
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,37,12.4029
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,38,12.251
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,39,12.0784
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,40,11.8673
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,41,11.6328
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,42,11.4076
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,43,11.2171
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,44,11.0616
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,45,10.9208
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,46,10.7719
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,47,10.608
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,48,10.4406
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,49,10.2871
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,50,10.1551
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,51,10.0348
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,52,9.91083
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,53,9.77787
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,54,9.64537
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,55,9.52723
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,56,9.42743
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,57,9.33666
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,58,9.24279
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,59,9.14185
