batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,0,45.6689
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,1,42.6147
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,2,39.7017
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,3,37.6329
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,4,35.9213
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,5,34.654
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,6,33.7373
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,7,33.109
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,8,32.6303
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,9,32.3058
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,10,32.0368
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,11,31.7828
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,12,31.5343
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,13,31.313
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,14,31.0988
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,15,30.9105
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,16,30.7597
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,17,30.7477
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,18,30.7389
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,19,30.6315
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,20,30.5129
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,21,30.4037
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,22,30.2975
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,23,30.1936
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,24,30.0929
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,25,29.9963
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,26,29.9052
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,27,29.8191
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,28,29.7373
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,29,29.6582
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,30,29.5796
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,31,29.5002
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,32,29.4216
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,33,29.3482
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,34,29.2815
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,35,29.2202
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,36,29.1633
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,37,29.1102
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,38,29.0604
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,39,29.0125
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,40,28.9621
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,41,28.9031
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,42,28.8778
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,43,28.8264
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,44,28.768
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,45,28.7485
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,46,28.7143
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,47,28.6227
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,48,28.5763
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,49,28.487
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,50,28.3749
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,51,28.6922
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,52,28.6767
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,53,28.66
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,54,28.6435
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,55,28.6273
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,56,28.6118
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,57,28.597
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,58,28.5832
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,59,28.5704
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,60,28.5586
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,61,28.548
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,62,28.5383
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,63,28.5295
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,64,28.5215
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,65,28.5142
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,66,28.5074
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,67,28.5011
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,68,28.4951
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,69,28.4894
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,70,28.484
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,71,28.4788
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,72,28.4738
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,73,28.4691
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,74,28.4647
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,75,28.4605
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,76,28.4567
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,77,28.453
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,78,28.4497
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,79,28.4466
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,80,28.4438
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,81,28.4413
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,82,28.4389
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,83,28.4368
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,84,28.4349
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,85,28.4331
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,86,28.4315
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,87,28.43
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,88,28.4286
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,89,28.4274
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,90,28.4263
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,91,28.4252
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,92,28.4243
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,93,28.4234
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,94,28.4226
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,95,28.4219
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,96,28.4212
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,97,28.4207
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,98,28.4201
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,99,28.4197
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,100,28.4193
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,-1,27.253
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,101,28.4189
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,102,28.4186
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,103,28.4183
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,104,28.418
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,105,28.4178
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,106,28.4176
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,107,28.4174
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,108,28.4172
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,109,28.417
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,110,28.4169
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,111,28.4167
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,112,28.4166
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,113,28.4164
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,114,28.4163
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,115,28.4161
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,116,28.416
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,117,28.4159
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,118,28.4157
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,119,28.4156
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,120,28.4155
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,121,28.4153
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,122,28.4151
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,123,28.415
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,124,28.4148
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,125,28.4146
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,126,28.4144
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,127,28.4141
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,128,28.4139
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,129,28.4136
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,130,28.4133
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,131,28.413
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,132,28.4127
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,133,28.4123
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,134,28.4119
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,135,28.4115
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,136,28.411
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,137,28.4105
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,138,28.41
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,139,28.4094
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,140,28.4087
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,141,28.408
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,142,28.4072
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,143,28.4064
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,144,28.4055
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,145,28.4046
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,146,28.4035
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,147,28.4024
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,148,28.4013
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,149,28.4
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,150,28.3984
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,151,28.3967
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,152,28.3952
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,153,28.3937
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,154,28.3921
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,155,28.3904
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,156,28.3885
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,157,28.3866
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,158,28.3845
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,159,28.3822
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,160,28.38
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,161,28.3777
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,162,28.3754
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,163,28.3729
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,164,28.37
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,165,28.3662
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,166,28.3646
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,167,28.3621
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,168,28.3656
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,169,28.3587
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,170,28.3557
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,171,28.3511
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,172,28.3483
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,173,28.3419
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,174,28.3412
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,175,28.3385
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,176,28.336
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,177,28.3321
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,178,28.3334
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,179,28.3293
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,180,28.327
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,181,28.3225
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,182,28.3196
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,183,28.3148
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,184,28.3107
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,185,28.3067
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,186,28.2996
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,187,28.2935
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,188,28.2896
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,189,28.2854
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,190,28.2823
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,191,28.2782
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,192,28.272
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,193,28.2688
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,194,28.2638
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,195,28.2587
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,196,28.253
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,197,28.2474
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,198,28.2411
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,199,28.2324
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,200,28.2201
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,-1,27.1085
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,201,28.1999
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,202,28.1772
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,203,28.1748
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,204,28.1603
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,205,28.1308
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,206,28.1208
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,207,28.1092
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,208,28.091
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,209,28.0634
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,210,28.0504
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,211,28.0433
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,212,28.0339
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,213,28.0518
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,214,28.2448
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,215,28.2765
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,216,28.2217
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,217,28.1372
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,218,28.1211
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,219,28.1652
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,220,28.0797
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,221,28.0362
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,222,28.0425
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,223,28.0078
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,224,27.9877
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,225,27.9498
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,226,27.9614
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,227,27.9987
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,228,28.0099
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,229,27.9021
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,230,27.8713
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,231,27.8884
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,232,27.8886
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,233,27.8786
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,234,27.8637
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,235,27.8809
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,236,27.8312
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,237,27.8198
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,238,27.8361
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,239,27.8301
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,240,27.8081
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,241,27.7578
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,242,27.7404
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,243,27.7251
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,244,27.6982
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,245,27.6868
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,246,27.677
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,247,27.5972
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,248,27.5928
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,249,27.6194
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,250,27.5101
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,251,27.5904
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,252,27.6228
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,253,27.6205
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,254,27.602
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,255,27.5783
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,256,27.5396
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,257,27.5287
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,258,27.5063
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,259,27.5011
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,260,27.4583
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,261,27.4668
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,262,27.466
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,263,27.4571
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,264,27.4355
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,265,27.414
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,266,27.3961
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,267,27.3784
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,268,27.3629
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,269,27.343
