batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,0,49.3889
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,1,46.5662
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,2,43.3372
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,3,40.9247
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,4,39.1777
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,5,37.7131
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,6,36.4842
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,7,35.5501
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,8,34.8865
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,9,34.422
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,10,34.0917
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,11,33.8372
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,12,33.6227
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,13,33.4269
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,14,33.2393
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,15,33.0578
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,16,32.8818
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,17,32.7095
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,18,32.5367
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,19,32.3588
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,20,32.1717
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,21,31.9768
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,22,31.7837
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,23,31.5995
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,24,31.4243
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,25,31.2541
