batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,0,48.8547
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,1,45.3345
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,2,41.9483
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,3,39.4601
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,4,37.4466
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,5,35.7992
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,6,34.4582
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,7,33.5289
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,8,32.9014
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,9,32.4254
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,10,32.0572
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,11,31.7444
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,12,31.4821
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,13,31.3197
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,14,31.0584
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,15,30.792
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,16,30.5166
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,17,30.2129
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,18,29.8858
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,19,29.5543
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,20,29.2372
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,21,28.9441
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,22,28.6806
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,23,28.4416
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,24,28.215
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,25,27.9903
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,26,27.7625
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,27,27.5385
