batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,0,48.2052
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,1,45.7584
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,2,42.7333
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,3,40.404
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,4,38.495
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,5,36.8829
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,6,35.5939
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,7,34.6044
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,8,33.8747
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,9,33.3606
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,10,32.9696
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,11,32.6364
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,12,32.3388
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,13,32.0687
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,14,31.8192
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,15,31.5833
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,16,31.3558
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,17,31.1331
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,18,30.9131
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,19,30.6939
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,20,30.4755
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,21,30.2599
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,22,30.0484
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,23,29.8399
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,24,29.633
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,25,29.4284
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,26,29.2277
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,27,29.0318
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,28,28.8398
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,29,28.6521
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,30,28.4718
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,31,28.2961
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,32,28.1232
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,33,27.953
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,34,27.7852
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,35,27.62
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,36,27.4572
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,37,27.2969
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,38,27.1391
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,39,26.9838
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,40,26.8311
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,41,26.6811
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,42,26.5337
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,43,26.3891
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,44,26.2472
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,45,26.1081
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,46,25.9719
