batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,0,6.65173
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,1,2.53333
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,2,3.36333
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,3,2.89568
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,4,3.18846
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,5,2.69904
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,6,2.2226
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,7,0.89003
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,8,0.402038
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,9,0.351334
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,10,0.246676
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,11,0.0479068
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,12,0.0419333
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,13,0.0339953
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,14,0.0173609
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,15,0.00939624
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,16,0.00522357
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,17,0.00457307
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,18,0.0178306
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,19,0.00611856
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,20,0.00729435
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,21,0.00381545
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,22,0.00245691
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,23,0.0044414
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,24,0.00241885
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,25,0.00174004
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,26,0.00138328
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,27,0.00103761
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,28,0.000992398
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,29,0.000903255
