batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,0,6.12218
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,1,3.03672
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,2,3.47018
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,3,3.18998
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,4,1.68858
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,5,1.23218
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,6,1.22746
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,7,0.680263
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,8,0.263911
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,9,0.34049
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,10,0.26355
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,11,0.186067
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,12,0.0866658
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,13,0.1023
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,14,0.0268987
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,15,0.0191416
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,16,0.0320695
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,17,0.0133395
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,18,0.00929163
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,19,0.00849399
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,20,0.0058649
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,21,0.00327927
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,22,0.00246671
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,23,0.00208294
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,24,0.00199034
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,25,0.00186723
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,26,0.00173621
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,27,0.00155811
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,28,0.00129048
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,29,0.0010585
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,30,0.000870301
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,31,0.000737411
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,32,0.000648315
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,33,0.000572604
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,34,0.000511262
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,35,0.000455443
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,36,0.000407624
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,37,0.000365271
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,38,0.000319816
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,39,0.000278887
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,40,0.000250063
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,41,0.00022735
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,42,0.000206973
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,43,0.000191469
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,44,0.000179778
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,45,0.000168373
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,46,0.000157647
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,47,0.000147874
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,48,0.000138709
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,49,0.000130605
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,50,0.000123752
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,51,0.000117936
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,52,0.000112751
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,53,0.000108103
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,54,0.000104098
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,55,0.000100582
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,56,9.74708e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,57,9.47413e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,58,9.22383e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,59,8.9914e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,60,8.78519e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,61,8.58376e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,62,8.39781e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,63,8.22975e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,64,8.06884e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,65,7.92938e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,66,7.79469e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,67,7.66595e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,68,7.54795e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,69,7.43352e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,70,7.3322e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,71,7.23565e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,72,7.13553e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,73,7.04732e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,74,6.96507e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,75,6.87567e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,76,6.80535e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,77,6.73025e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,78,6.65396e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,79,6.58244e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,80,6.51689e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,81,6.45013e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,82,6.38577e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,83,6.32617e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,84,6.26418e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,85,6.20697e-05
