batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,0,5.89871
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,1,2.39247
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,2,1.53588
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,3,0.262317
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,4,1.04056
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,5,0.949312
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,6,1.59367
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,7,0.208921
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,8,0.0289355
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,9,0.172366
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,10,0.0395864
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,11,0.0385474
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,12,0.0297709
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,13,0.0150622
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,14,0.00972218
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,15,0.00811701
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,16,0.00962958
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,17,0.00496321
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,18,0.00291688
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,19,0.00190258
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,20,0.00161613
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,21,0.00139954
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,22,0.00111936
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,23,0.00106722
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,24,0.00143982
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,25,0.000876937
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,26,0.00063224
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,27,0.000389841
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,28,0.000298188
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,29,0.000295888
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,30,0.00023175
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,31,0.0001935
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,32,0.000176286
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,33,0.000166633
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,34,0.000164752
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,35,0.000271747
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,36,0.000152014
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,37,0.000129448
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,38,0.000117199
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,39,0.000107637
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,40,0.000100168
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,41,9.32153e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,42,8.96264e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,43,8.66333e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,44,8.40905e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,45,8.1561e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,46,7.88989e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,47,7.56541e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,48,7.32701e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,49,7.09259e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,50,6.85552e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,51,6.6211e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,52,6.39859e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,53,6.18271e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,54,5.98272e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,55,5.80391e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,56,5.64763e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,57,5.50591e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,58,5.37479e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,59,5.25559e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,60,5.15361e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,61,5.04898e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,62,4.95626e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,63,4.86885e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,64,4.78408e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,65,4.71124e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,66,4.63707e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,67,4.56952e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,68,4.51124e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,69,4.44635e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,70,4.38939e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,71,4.33509e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,72,4.28609e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,73,4.23443e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,74,4.18543e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,75,4.13775e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,76,4.09007e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,77,4.04768e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,78,4.00663e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,79,3.96424e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,80,3.92451e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,81,3.88875e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,82,3.85431e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,83,3.80796e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,84,3.77617e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,85,3.74306e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,86,3.70597e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,87,3.67286e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,88,3.63843e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,89,3.61061e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,90,3.5828e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,91,3.54836e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,92,3.51922e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,93,3.49009e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,94,3.4583e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,95,3.42519e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,96,3.3987e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,97,3.37486e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,98,3.3444e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,99,3.31791e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,100,3.29142e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,-1,10.2349
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,101,3.2636e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,102,3.24109e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,103,3.21857e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,104,3.19473e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,105,3.17354e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,106,3.15235e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,107,3.13116e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,108,3.10599e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,109,3.08745e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,110,3.06626e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,111,3.04639e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,112,3.03182e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,113,3.00268e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,114,2.98281e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,115,2.96295e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,116,2.94573e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,117,2.92586e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,118,2.90732e-05
