batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,0,6.29295
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,1,2.48553
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,2,1.22841
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,3,1.2703
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,4,0.459112
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,5,0.195797
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,6,0.0263742
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,7,0.0199366
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,8,0.0073748
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,9,0.00338709
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,10,0.00275068
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,11,0.00115344
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,12,0.00209808
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,13,0.0017773
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,14,0.000807143
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,15,0.000918938
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,16,0.000984354
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,17,0.000761578
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,18,0.000544764
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,19,0.000339868
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,20,0.000328489
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,21,0.000259561
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,22,0.000228974
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,23,0.00017988
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,24,0.000147265
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,25,0.000236983
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,26,0.000122093
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,27,0.000112692
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,28,0.00010623
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,29,0.000112546
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,30,0.000107963
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,31,9.95673e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,32,8.73048e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,33,7.66048e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,34,7.7584e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,35,6.72413e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,36,5.68853e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,37,4.92437e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,38,3.92051e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,39,3.1285e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,40,2.76427e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,41,2.52321e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,42,2.3444e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,43,2.20136e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,44,2.08215e-05
