batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,0,72778.6
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,1,1.57242e+06
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,2,1.14115e+06
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,3,1.00668e+06
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,4,731465.0
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,5,399275.0
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,6,501349.0
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,7,610195.0
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,8,567831.0
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,9,421952.0
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,10,250281.0
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,11,178376.0
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,12,275827.0
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,13,337123.0
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,14,314234.0
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,15,216196.0
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,16,71377.4
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,17,144338.0
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,18,229133.0
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,19,239773.0
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,20,194972.0
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,21,118207.0
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,22,69097.8
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,23,102502.0
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,24,136467.0
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,25,139408.0
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,26,109278.0
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,27,49995.6
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,28,54635.0
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,29,98902.8
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,30,101795.0
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,31,69140.2
4,0.005,10,1250,1.0,0.0,25,2,3,3,100,106,32,23444.6
