batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,0,30096.1
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,1,1.6688e+06
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,2,1.1745e+06
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,3,385852.0
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,4,554217.0
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,5,784744.0
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,6,747485.0
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,7,567224.0
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,8,344924.0
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,9,205017.0
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,10,234065.0
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,11,294701.0
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,12,314272.0
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,13,293288.0
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,14,242480.0
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,15,174066.0
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,16,108586.0
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,17,95361.6
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,18,131517.0
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,19,155566.0
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,20,154317.0
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,21,130499.0
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,22,90691.2
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,23,50439.9
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,24,53268.1
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,25,78555.3
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,26,90276.3
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,27,84718.5
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,28,63875.4
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,29,32922.5
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,30,29200.3
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,31,52410.3
4,0.005,9,1250,1.0,0.0,25,2,3,3,100,106,32,59404.1
