batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,0,385.415
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,1,25126.6
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,2,17130.2
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,3,9383.58
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,4,7781.58
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,5,8072.28
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,6,8139.4
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,7,7409.48
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,8,5990.13
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,9,4274.47
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,10,2769.21
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,11,2242.97
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,12,2546.06
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,13,2760.8
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,14,2681.33
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,15,2371.45
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,16,1930.25
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,17,1448.9
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,18,1010.17
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,19,704.047
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,20,613.919
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,21,683.589
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,22,769.668
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,23,807.748
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,24,788.961
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,25,721.731
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,26,617.931
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,27,489.284
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,28,347.239
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,29,207.997
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,30,124.881
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,31,172.403
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,32,240.229
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,33,278.118
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,34,284.557
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,35,264.725
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,36,224.78
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,37,171.566
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,38,114.952
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,39,77.5672
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,40,84.5781
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,41,104.639
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,42,114.433
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,43,112.001
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,44,101.099
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,45,87.3663
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,46,76.254
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,47,69.5005
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,48,64.1739
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,49,57.5928
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,50,51.043
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,51,48.0891
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,52,48.4742
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,53,48.1506
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,54,44.9059
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,55,39.7798
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,56,35.3112
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,57,32.2925
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,58,30.1023
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,59,29.0912
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,60,28.6927
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,61,26.6491
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,62,23.0888
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,63,21.6411
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,64,21.5035
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,65,19.0584
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,66,17.4406
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,67,18.4426
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,68,16.1959
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,69,13.2838
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,70,14.7811
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,71,13.2885
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,72,12.1692
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,73,12.2818
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,74,8.74295
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,75,11.8467
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,76,10.8089
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,77,6.78356
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,78,9.6061
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,79,8.46482
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,80,5.8634
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,81,7.8719
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,82,5.38392
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,83,6.92363
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,84,6.71986
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,85,4.58583
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,86,7.68778
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,87,4.47098
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,88,8.1757
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,89,6.14773
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,90,7.23906
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,91,5.96842
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,92,5.94021
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,93,6.29265
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,94,5.27202
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,95,5.00577
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,96,6.67717
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,97,3.98806
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,98,6.27162
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,99,5.63699
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,100,4.49004
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,-1,38.9014
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,101,4.51176
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,102,6.2736
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,103,3.80357
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,104,4.21512
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,105,4.74645
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,106,4.92241
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,107,5.48844
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,108,1.92701
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,109,7.62218
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,110,5.18569
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,111,7.68836
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,112,7.3624
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,113,6.00998
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,114,5.56725
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,115,6.6699
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,116,4.9293
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,117,7.90126
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,118,7.59565
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,119,4.42227
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,120,5.24173
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,121,5.31299
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,122,3.22207
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,123,7.83648
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,124,5.40495
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,125,8.54676
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,126,8.15944
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,127,5.74245
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,128,6.39086
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,129,5.24682
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,130,5.44768
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,131,5.43627
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,132,3.85242
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,133,9.24294
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,134,8.04398
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,135,6.38543
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,136,6.26569
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,137,6.59918
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,138,5.4476
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,139,6.79997
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,140,5.41496
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,141,7.02721
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,142,6.04462
4,0.005,38,1250,1.0,0.0,25,2,3,3,100,106,143,6.58839
