batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,0,35364.0
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,1,1.23823e+06
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,2,850447.0
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,3,400658.0
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,4,422474.0
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,5,475109.0
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,6,438332.0
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,7,362149.0
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,8,284594.0
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,9,208205.0
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,10,163398.0
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,11,188345.0
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,12,215909.0
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,13,208405.0
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,14,165217.0
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,15,100981.0
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,16,70728.5
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,17,103839.0
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,18,127422.0
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,19,123628.0
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,20,95562.4
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,21,51501.9
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,22,37179.1
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,23,68416.2
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,24,79571.4
4,0.005,8,1250,1.0,0.0,25,2,3,3,100,106,25,66166.9
