batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,0,56.3311
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,1,56.0472
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,2,55.7671
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,3,55.4894
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,4,55.2153
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,5,54.9458
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,6,54.6785
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,7,54.4154
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,8,54.1571
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,9,53.9018
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,10,53.649
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,11,53.3983
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,12,53.1497
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,13,52.9051
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,14,52.6632
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,15,52.4225
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,16,52.1849
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,17,51.9511
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,18,51.7213
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,19,51.4951
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,20,51.2714
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,21,51.0488
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,22,50.8298
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,23,50.6134
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,24,50.3985
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,25,50.1841
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,26,49.9711
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,27,49.7579
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,28,49.5469
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,29,49.3372
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,30,49.1271
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,31,48.9149
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,32,48.7024
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,33,48.4917
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,34,48.2816
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,35,48.0733
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,36,47.8674
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,37,47.6627
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,38,47.4605
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,39,47.2613
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,40,47.0636
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,41,46.867
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,42,46.6721
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,43,46.4786
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,44,46.2869
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,45,46.0965
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,46,45.9062
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,47,45.716
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,48,45.526
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,49,45.3366
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,50,45.1491
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,51,44.9629
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,52,44.7781
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,53,44.5958
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,54,44.4155
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,55,44.2366
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,56,44.06
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,57,43.8862
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,58,43.7144
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,59,43.5426
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,60,43.3727
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,61,43.206
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,62,43.0419
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,63,42.878
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,64,42.7157
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,65,42.552
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,66,42.3889
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,67,42.2265
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,68,42.0633
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,69,41.8998
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,70,41.737
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,71,41.5759
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,72,41.415
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,73,41.2542
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,74,41.0936
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,75,40.9341
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,76,40.7771
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,77,40.6204
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,78,40.465
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,79,40.3116
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,80,40.1573
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,81,40.0036
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,82,39.8521
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,83,39.702
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,84,39.5528
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,85,39.4058
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,86,39.2599
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,87,39.1156
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,88,38.9733
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,89,38.8317
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,90,38.6912
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,91,38.5511
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,92,38.4131
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,93,38.2772
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,94,38.1435
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,95,38.0122
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,96,37.8807
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,97,37.7516
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,98,37.6244
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,99,37.4987
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,100,37.3744
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,-1,44.7966
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,101,37.2502
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,102,37.1268
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,103,37.0041
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,104,36.8837
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,105,36.7642
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,106,36.646
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,107,36.5304
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,108,36.4173
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,109,36.3061
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,110,36.1968
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,111,36.0898
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,112,35.984
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,113,35.88
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,114,35.778
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,115,35.6767
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,116,35.577
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,117,35.4788
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,118,35.3828
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,119,35.2882
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,120,35.1952
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,121,35.1033
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,122,35.0116
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,123,34.9205
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,124,34.8303
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,125,34.7417
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,126,34.655
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,127,34.5708
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,128,34.4879
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,129,34.4067
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,130,34.3266
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,131,34.2473
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,132,34.1691
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,133,34.0912
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,134,34.0114
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,135,33.9316
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,136,33.852
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,137,33.7725
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,138,33.6934
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,139,33.6154
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,140,33.5383
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,141,33.4622
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,142,33.3872
