batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,0,75.6289
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,1,73.3154
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,2,71.0632
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,3,68.8734
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,4,66.7462
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,5,64.6825
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,6,62.684
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,7,60.7509
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,8,58.8832
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,9,57.0792
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,10,55.3382
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,11,53.6574
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,12,52.0337
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,13,50.4662
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,14,48.9539
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,15,47.4961
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,16,46.0936
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,17,44.7456
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,18,43.4521
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,19,42.2134
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,20,41.0293
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,21,39.8983
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,22,38.8201
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,23,37.7929
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,24,36.8146
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,25,35.8812
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,26,34.9886
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,27,34.1332
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,28,33.3109
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,29,32.5179
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,30,31.7518
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,31,31.0103
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,32,30.2917
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,33,29.5942
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,34,28.9173
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,35,28.2614
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,36,27.6262
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,37,27.0121
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,38,26.4171
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,39,25.8404
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,40,25.2813
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,41,24.7389
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,42,24.212
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,43,23.7006
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,44,23.2045
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,45,22.7233
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,46,22.257
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,47,21.8052
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,48,21.3672
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,49,20.9419
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,50,20.5281
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,51,20.1263
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,52,19.7359
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,53,19.3563
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,54,18.9871
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,55,18.6283
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,56,18.2798
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,57,17.9414
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,58,17.612
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,59,17.2908
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,60,16.9771
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,61,16.6707
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,62,16.3713
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,63,16.0791
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,64,15.794
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,65,15.5157
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,66,15.2445
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,67,14.98
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,68,14.7217
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,69,14.4698
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,70,14.2245
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,71,13.9857
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,72,13.7527
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,73,13.5252
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,74,13.3027
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,75,13.0851
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,76,12.8722
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,77,12.6637
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,78,12.4594
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,79,12.2594
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,80,12.0635
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,81,11.8716
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,82,11.6837
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,83,11.4995
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,84,11.319
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,85,11.1419
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,86,10.9679
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,87,10.7971
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,88,10.6296
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,89,10.4654
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,90,10.3042
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,91,10.1459
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,92,9.99045
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,93,9.83778
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,94,9.68786
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,95,9.54048
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,96,9.39571
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,97,9.25362
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,98,9.11388
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,99,8.97673
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,100,8.84226
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,-1,29.7788
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,101,8.71012
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,102,8.58012
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,103,8.45226
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,104,8.3266
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,105,8.20309
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,106,8.08161
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,107,7.96214
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,108,7.84469
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,109,7.72923
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,110,7.61577
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,111,7.50408
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,112,7.39413
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,113,7.2864
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,114,7.18044
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,115,7.07604
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,116,6.97316
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,117,6.87199
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,118,6.7728
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,119,6.67519
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,120,6.57896
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,121,6.48415
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,122,6.39097
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,123,6.29967
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,124,6.20989
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,125,6.12171
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,126,6.03479
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,127,5.94908
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,128,5.86479
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,129,5.78187
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,130,5.70023
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,131,5.61978
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,132,5.54057
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,133,5.46262
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,134,5.3858
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,135,5.31014
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,136,5.23584
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,137,5.16284
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,138,5.09094
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,139,5.02004
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,140,4.95031
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,141,4.88166
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,142,4.81433
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,143,4.74796
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,144,4.68263
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,145,4.61849
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,146,4.55542
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,147,4.4934
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,148,4.43241
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,149,4.37226
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,150,4.31316
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,151,4.25502
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,152,4.19782
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,153,4.14155
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,154,4.08634
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,155,4.03191
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,156,3.97818
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,157,3.92526
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,158,3.87299
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,159,3.82155
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,160,3.77087
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,161,3.72103
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,162,3.67203
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,163,3.62376
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,164,3.5761
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,165,3.52935
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,166,3.48331
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,167,3.43798
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,168,3.39334
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,169,3.34929
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,170,3.30615
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,171,3.26363
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,172,3.22174
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,173,3.1805
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,174,3.13988
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,175,3.09976
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,176,3.06029
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,177,3.0214
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,178,2.98312
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,179,2.94524
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,180,2.90804
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,181,2.87132
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,182,2.83499
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,183,2.79907
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,184,2.76372
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,185,2.72892
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,186,2.69441
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,187,2.66045
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,188,2.62682
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,189,2.59374
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,190,2.56113
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,191,2.52896
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,192,2.49713
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,193,2.46572
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,194,2.43479
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,195,2.40442
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,196,2.37439
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,197,2.34467
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,198,2.31514
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,199,2.28595
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,200,2.25719
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,-1,25.5369
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,201,2.22878
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,202,2.20066
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,203,2.17266
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,204,2.1452
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,205,2.11788
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,206,2.09075
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,207,2.06391
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,208,2.0374
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,209,2.01109
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,210,1.98516
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,211,1.95931
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,212,1.93385
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,213,1.90869
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,214,1.88381
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,215,1.85908
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,216,1.83462
