batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,0,27.7984
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,1,27.5987
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,2,27.4056
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,3,27.219
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,4,27.0385
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,5,26.8651
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,6,26.6963
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,7,26.5326
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,8,26.3759
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,9,26.2176
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,10,26.0645
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,11,25.9151
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,12,25.7699
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,13,25.628
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,14,25.4896
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,15,25.358
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,16,25.231
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,17,25.1064
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,18,24.9818
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,19,24.86
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,20,24.7418
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,21,24.6262
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,22,24.5152
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,23,24.4046
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,24,24.297
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,25,24.1948
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,26,24.0972
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,27,24.0017
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,28,23.9042
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,29,23.8073
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,30,23.7144
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,31,23.6236
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,32,23.5302
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,33,23.4341
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,34,23.3376
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,35,23.2436
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,36,23.1501
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,37,23.0567
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,38,22.9673
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,39,22.8813
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,40,22.7968
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,41,22.7142
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,42,22.6328
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,43,22.5535
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,44,22.4753
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,45,22.3952
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,46,22.3151
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,47,22.2364
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,48,22.1582
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,49,22.0808
