batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,0,66.9936
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,1,66.6739
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,2,66.2893
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,3,65.8616
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,4,65.4978
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,5,65.1385
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,6,64.7929
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,7,64.4879
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,8,64.2319
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,9,64.0189
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,10,63.8293
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,11,63.6515
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,12,63.478
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,13,63.3046
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,14,63.1291
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,15,62.951
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,16,62.7709
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,17,62.5912
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,18,62.4146
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,19,62.2434
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,20,62.078
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,21,61.9176
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,22,61.7606
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,23,61.606
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,24,61.4533
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,25,61.3026
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,26,61.1542
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,27,61.0087
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,28,60.8666
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,29,60.7279
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,30,60.5931
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,31,60.4624
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,32,60.3361
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,33,60.2143
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,34,60.0966
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,35,59.9833
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,36,59.8742
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,37,59.7692
