batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,0,49.4339
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,1,42.0522
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,2,35.9308
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,3,30.3591
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,4,27.0285
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,5,26.4591
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,6,25.1973
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,7,22.7436
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,8,20.7971
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,9,20.2515
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,10,19.6461
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,11,18.4485
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,12,17.4346
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,13,17.5351
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,14,15.861
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,15,15.0054
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,16,14.0876
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,17,13.0615
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,18,13.7206
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,19,12.1531
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,20,11.8964
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,21,11.6551
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,22,11.1206
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,23,10.8533
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,24,10.2031
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,25,9.54477
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,26,9.46979
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,27,8.9446
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,28,8.47865
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,29,7.75975
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,30,7.36797
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,31,6.24064
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,32,5.70583
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,33,5.2592
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,34,4.89465
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,35,4.54067
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,36,4.4324
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,37,4.9015
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,38,3.46316
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,39,3.06269
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,40,2.7995
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,41,4.0753
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,42,3.5221
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,43,4.53733
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,44,2.49393
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,45,6.80363
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,46,3.55932
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,47,1.63377
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,48,1.94375
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,49,1.51592
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,50,1.79863
