batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,0,25.2621
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,1,24.9998
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,2,24.7585
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,3,24.5285
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,4,24.3121
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,5,24.1073
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,6,23.9098
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,7,23.7146
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,8,23.5167
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,9,23.3137
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,10,23.109
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,11,22.9065
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,12,22.7101
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,13,22.5179
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,14,22.3213
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,15,22.1128
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,16,21.893
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,17,21.6704
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,18,21.4504
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,19,21.2268
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,20,21.0003
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,21,20.7878
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,22,20.5802
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,23,20.333
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,24,20.082
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,25,19.8505
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,26,19.6255
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,27,19.4077
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,28,19.2032
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,29,18.9995
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,30,18.8061
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,31,18.6121
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,32,18.4676
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,33,18.2688
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,34,18.1338
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,35,17.9728
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,36,17.7504
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,37,17.6365
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,38,17.585
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,39,17.4503
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,40,17.3055
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,41,17.093
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,42,16.896
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,43,16.8665
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,44,16.6561
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,45,16.5584
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,46,16.4538
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,47,16.3549
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,48,16.2471
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,49,16.1476
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,50,16.0505
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,51,15.9558
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,52,15.8636
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,53,15.7733
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,54,15.6841
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,55,15.6165
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,56,15.5177
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,57,15.4386
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,58,15.3614
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,59,15.2873
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,60,15.2129
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,61,15.1391
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,62,15.0724
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,63,15.0156
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,64,15.1488
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,65,14.9652
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,66,14.8264
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,67,14.8394
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,68,14.6947
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,69,14.7059
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,70,14.6349
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,71,14.7155
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,72,14.5746
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,73,14.6637
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,74,14.6011
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,75,14.8377
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,76,14.5246
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,77,14.4867
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,78,14.3885
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,79,14.3289
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,80,14.2737
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,81,14.2171
