batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,0,118.848
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,1,109.025
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,2,100.132
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,3,92.1323
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,4,84.9617
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,5,78.6621
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,6,73.2479
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,7,68.5971
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,8,64.6703
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,9,61.409
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,10,58.737
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,11,56.5685
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,12,54.8191
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,13,53.4707
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,14,52.4235
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,15,51.5853
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,16,50.825
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,17,50.1349
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,18,49.468
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,19,48.828
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,20,48.1845
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,21,47.5005
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,22,46.8178
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,23,46.1524
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,24,45.504
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,25,44.8728
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,26,44.2843
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,27,43.7287
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,28,43.2182
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,29,42.7636
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,30,42.357
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,31,41.9989
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,32,41.6719
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,33,41.3618
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,34,41.0635
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,35,40.779
