batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,0,56.2756
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,1,55.8539
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,2,55.5266
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,3,55.3015
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,4,55.1488
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,5,55.0116
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,6,54.8861
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,7,54.7644
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,8,54.6346
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,9,54.4998
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,10,54.3625
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,11,54.2197
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,12,54.0671
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,13,53.9383
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,14,53.8084
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,15,53.6781
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,16,53.548
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,17,53.4179
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,18,53.2867
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,19,53.1572
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,20,53.0307
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,21,52.907
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,22,52.7854
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,23,52.6636
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,24,52.5422
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,25,52.4215
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,26,52.3022
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,27,52.1846
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,28,52.0691
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,29,51.956
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,30,51.8458
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,31,51.7386
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,32,51.6344
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,33,51.5331
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,34,51.4351
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,35,51.3407
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,36,51.2498
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,37,51.1622
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,38,51.0778
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,39,50.9966
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,40,50.9182
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,41,50.8423
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,42,50.7695
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,43,50.6996
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,44,50.6322
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,45,50.567
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,46,50.5039
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,47,50.4427
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,48,50.3833
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,49,50.3256
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,50,50.2693
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,51,50.2145
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,52,50.1609
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,53,50.1086
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,54,50.0573
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,55,50.007
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,56,49.9577
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,57,49.9093
