batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,0,49.5185
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,1,39.9403
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,2,30.8792
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,3,24.5187
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,4,19.481
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,5,14.9905
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,6,11.4347
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,7,8.89677
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,8,7.07993
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,9,5.78051
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,10,4.68231
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,11,3.77155
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,12,3.28693
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,13,3.01646
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,14,2.77164
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,15,2.52261
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,16,2.26587
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,17,2.0312
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,18,1.89209
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,19,1.88641
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,20,1.93604
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,21,1.97617
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,22,2.00318
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,23,2.03059
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,24,2.0624
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,25,2.09146
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,26,2.10833
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,27,2.108
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,28,2.09075
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,29,2.06017
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,30,2.02157
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,31,1.98182
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,32,1.94777
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,33,1.9224
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,34,1.90388
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,35,1.88872
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,36,1.87486
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,37,1.86265
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,38,1.85389
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,39,1.8503
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,40,1.85219
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,41,1.85808
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,42,1.86532
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,43,1.87143
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,44,1.87511
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,45,1.87625
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,46,1.8754
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,47,1.87317
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,48,1.86986
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,49,1.86554
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,50,1.86032
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,51,1.85463
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,52,1.84928
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,53,1.84519
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,54,1.84289
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,55,1.84226
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,56,1.84266
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,57,1.84337
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,58,1.84412
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,59,1.84472
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,60,1.84506
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,61,1.84517
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,62,1.84503
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,63,1.8446
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,64,1.844
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,65,1.84322
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,66,1.84209
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,67,1.84066
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,68,1.83913
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,69,1.83774
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,70,1.83679
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,71,1.83632
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,72,1.83599
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,73,1.83554
