batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,0,35.2919
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,1,35.1465
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,2,35.0021
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,3,34.8503
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,4,34.6734
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,5,34.462
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,6,34.2271
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,7,33.965
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,8,33.6831
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,9,33.3728
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,10,33.0496
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,11,32.7565
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,12,32.493
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,13,32.2636
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,14,32.0717
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,15,31.9146
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,16,31.7837
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,17,31.6665
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,18,31.5606
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,19,31.4586
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,20,31.3583
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,21,31.2582
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,22,31.1536
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,23,31.0485
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,24,30.9445
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,25,30.8422
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,26,30.7418
