batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,0,26.4357
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,1,26.0053
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,2,25.5155
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,3,25.047
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,4,24.7011
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,5,24.4242
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,6,24.1675
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,7,23.9272
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,8,23.6892
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,9,23.4468
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,10,23.1942
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,11,22.943
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,12,22.6861
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,13,22.4202
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,14,22.1534
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,15,21.8912
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,16,21.6268
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,17,21.339
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,18,21.0469
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,19,20.7411
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,20,20.4382
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,21,20.1504
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,22,19.8788
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,23,19.6078
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,24,19.3268
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,25,19.0407
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,26,18.7433
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,27,18.4491
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,28,18.1811
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,29,17.9154
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,30,17.643
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,31,17.4028
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,32,17.1798
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,33,16.9503
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,34,16.7415
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,35,16.5521
