batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,0,41.2449
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,1,41.2025
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,2,41.0953
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,3,40.9969
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,4,40.9695
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,5,40.9551
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,6,40.9344
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,7,40.9155
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,8,40.894
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,9,40.8684
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,10,40.8409
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,11,40.8187
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,12,40.7949
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,13,40.7729
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,14,40.7546
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,15,40.7406
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,16,40.7316
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,17,40.7238
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,18,40.7146
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,19,40.7077
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,20,40.6986
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,21,40.6882
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,22,40.6742
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,23,40.6646
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,24,40.6576
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,25,40.6448
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,26,40.6258
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,27,40.6042
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,28,40.607
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,29,40.598
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,30,40.5933
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,31,40.5841
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,32,40.5716
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,33,40.5659
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,34,40.55
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,35,40.531
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,36,40.5196
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,37,40.5107
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,38,40.4963
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,39,40.4956
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,40,40.4924
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,41,40.4776
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,42,40.4604
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,43,40.4539
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,44,40.444
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,45,40.4371
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,46,40.4267
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,47,40.4187
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,48,40.4115
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,49,40.4033
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,50,40.3952
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,51,40.3904
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,52,40.3882
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,53,40.3857
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,54,40.3799
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,55,40.3737
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,56,40.4335
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,57,40.4054
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,58,40.3791
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,59,40.35
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,60,40.3436
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,61,40.3399
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,62,40.341
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,63,40.3422
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,64,40.3406
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,65,40.3371
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,66,40.3302
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,67,40.3245
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,68,40.322
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,69,40.3195
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,70,40.3171
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,71,40.3143
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,72,40.3143
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,73,40.3098
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,74,40.308
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,75,40.3061
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,76,40.3042
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,77,40.3022
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,78,40.3001
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,79,40.2979
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,80,40.2957
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,81,40.2939
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,82,40.2924
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,83,40.291
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,84,40.2897
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,85,40.2884
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,86,40.2872
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,87,40.2861
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,88,40.285
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,89,40.284
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,90,40.283
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,91,40.2821
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,92,40.2812
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,93,40.2803
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,94,40.2795
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,95,40.2787
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,96,40.2779
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,97,40.2771
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,98,40.2764
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,99,40.2758
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,100,40.2751
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,-1,42.7457
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,101,40.2744
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,102,40.2738
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,103,40.2732
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,104,40.2727
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,105,40.2721
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,106,40.2715
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,107,40.271
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,108,40.2705
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,109,40.27
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,110,40.2696
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,111,40.2692
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,112,40.2687
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,113,40.2695
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,114,40.269
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,115,40.2687
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,116,40.2681
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,117,40.2671
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,118,40.2659
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,119,40.2655
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,120,40.2651
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,121,40.2647
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,122,40.2643
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,123,40.2639
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,124,40.2635
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,125,40.2632
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,126,40.2628
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,127,40.2624
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,128,40.262
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,129,40.2616
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,130,40.2612
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,131,40.2608
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,132,40.2604
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,133,40.26
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,134,40.2596
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,135,40.2592
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,136,40.2589
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,137,40.2585
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,138,40.2581
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,139,40.2577
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,140,40.2574
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,141,40.257
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,142,40.2566
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,143,40.2563
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,144,40.2559
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,145,40.2555
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,146,40.2551
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,147,40.2547
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,148,40.2541
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,149,40.2535
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,150,40.2527
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,151,40.2518
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,152,40.2506
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,153,40.2494
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,154,40.2495
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,155,40.2501
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,156,40.2499
