batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,0,75.1018
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,1,54.0141
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,2,42.6858
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,3,33.8106
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,4,40.7305
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,5,45.0133
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,6,45.1566
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,7,28.7366
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,8,20.8327
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,9,20.169
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,10,21.2577
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,11,20.2566
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,12,17.4212
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,13,15.8391
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,14,13.7441
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,15,10.895
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,16,9.46107
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,17,14.1354
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,18,15.5904
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,19,15.3363
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,20,9.26904
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,21,10.0555
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,22,11.4218
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,23,9.12977
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,24,9.20813
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,25,9.35454
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,26,36.9551
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,27,47.1319
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,28,19.1722
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,29,23.302
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,30,46.3724
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,31,45.1981
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,32,42.3674
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,33,38.3971
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,34,35.2024
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,35,32.1898
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,36,28.8225
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,37,24.4808
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,38,19.6805
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,39,15.9689
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,40,15.0877
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,41,15.3642
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,42,15.3411
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,43,13.919
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,44,10.8349
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,45,11.0204
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,46,11.2959
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,47,9.67211
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,48,9.28049
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,49,9.13422
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,50,8.5125
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,51,8.13751
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,52,7.73161
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,53,6.63857
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,54,5.89673
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,55,4.99214
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,56,4.56673
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,57,4.15027
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,58,4.00976
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,59,4.81769
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,60,11.3891
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,61,8.35376
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,62,7.03052
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,63,6.83452
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,64,5.7684
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,65,5.20453
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,66,4.29796
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,67,3.68189
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,68,3.87116
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,69,3.53405
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,70,2.70567
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,71,2.08246
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,72,1.49474
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,73,3.57973
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,74,2.30397
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,75,1.76095
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,76,1.81696
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,77,3.06854
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,78,1.49731
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,79,0.980277
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,80,2.44991
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,81,1.42067
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,82,1.82273
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,83,2.20076
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,84,2.13283
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,85,2.05492
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,86,1.21526
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,87,2.10652
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,88,1.35785
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,89,1.68442
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,90,1.40308
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,91,0.866301
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,92,0.978648
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,93,1.25422
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,94,1.12465
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,95,0.822013
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,96,1.35835
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,97,0.964481
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,98,1.70301
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,99,2.3485
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,100,1.06366
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,-1,68.5688
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,101,7.71586
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,102,2.83491
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,103,3.87729
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,104,3.28225
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,105,2.52578
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,106,3.5308
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,107,3.36816
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,108,8.68632
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,109,6.75234
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,110,8.34244
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,111,7.9383
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,112,7.45118
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,113,6.21826
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,114,4.48593
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,115,4.37525
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,116,2.22882
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,117,3.15888
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,118,2.57149
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,119,3.68395
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,120,3.12348
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,121,2.68956
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,122,2.92368
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,123,2.4504
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,124,1.90598
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,125,1.79642
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,126,1.18854
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,127,1.77149
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,128,1.67659
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,129,1.31291
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,130,1.3391
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,131,1.22702
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,132,0.923837
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,133,1.65163
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,134,1.75169
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,135,1.42591
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,136,1.90196
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,137,3.12972
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,138,1.18039
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,139,1.0788
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,140,1.2725
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,141,1.1782
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,142,1.20801
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,143,1.58312
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,144,0.908533
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,145,1.17396
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,146,2.91249
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,147,5.27336
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,148,4.2687
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,149,4.75335
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,150,4.33166
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,151,2.49777
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,152,2.86923
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,153,3.09129
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,154,2.1696
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,155,2.43333
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,156,3.02424
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,157,2.0249
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,158,1.31039
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,159,1.54164
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,160,0.924632
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,161,1.2531
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,162,1.19179
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,163,1.19373
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,164,0.837753
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,165,2.05116
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,166,0.918533
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,167,1.11824
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,168,0.841212
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,169,1.95057
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,170,1.93596
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,171,1.64907
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,172,0.528859
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,173,0.927693
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,174,0.979332
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,175,0.935711
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,176,0.882911
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,177,0.664403
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,178,1.96438
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,179,0.817089
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,180,1.37698
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,181,1.33773
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,182,1.33852
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,183,1.04497
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,184,1.27594
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,185,1.13736
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,186,1.13276
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,187,0.908303
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,188,1.28951
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,189,0.805962
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,190,1.31145
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,191,1.40301
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,192,0.507555
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,193,1.12381
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,194,0.485684
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,195,0.743488
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,196,0.646996
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,197,0.867421
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,198,0.525113
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,199,0.58926
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,200,0.957765
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,-1,63.7814
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,201,0.854179
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,202,0.99984
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,203,0.546015
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,204,0.52559
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,205,0.487046
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,206,0.455638
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,207,1.1479
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,208,0.807077
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,209,0.738751
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,210,0.680836
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,211,0.670172
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,212,0.680392
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,213,0.510401
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,214,0.614907
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,215,0.725024
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,216,0.354052
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,217,0.353444
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,218,0.390665
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,219,1.04466
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,220,0.878092
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,221,0.957151
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,222,0.731156
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,223,0.906399
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,224,0.814216
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,225,1.02286
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,226,0.90145
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,227,0.760942
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,228,0.591148
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,229,0.923874
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,230,0.652686
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,231,1.02671
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,232,0.796522
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,233,0.986483
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,234,0.975944
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,235,0.586991
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,236,0.586948
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,237,0.806033
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,238,0.653398
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,239,0.862925
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,240,0.647836
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,241,0.78969
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,242,0.646863
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,243,0.812052
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,244,0.753724
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,245,0.720853
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,246,0.673764
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,247,0.714882
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,248,0.634445
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,249,0.736079
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,250,0.620116
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,251,0.763752
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,252,0.698728
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,253,0.884857
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,254,0.885189
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,255,0.418363
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,256,0.392509
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,257,0.839738
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,258,0.656678
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,259,0.866897
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,260,0.844862
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,261,0.475789
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,262,0.571238
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,263,0.455171
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,264,0.242315
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,265,0.697775
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,266,0.26772
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,267,1.08525
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,268,1.02262
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,269,0.351641
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,270,0.578
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,271,0.356185
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,272,0.183447
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,273,0.762619
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,274,0.391909
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,275,1.02565
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,276,1.09722
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,277,0.372208
