batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,0,62.3099
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,1,48.3226
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,2,46.5197
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,3,45.7974
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,4,44.7918
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,5,42.8716
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,6,37.4988
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,7,28.8813
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,8,45.9582
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,9,27.0952
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,10,21.4007
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,11,20.0012
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,12,19.7794
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,13,15.115
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,14,12.7262
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,15,10.3232
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,16,11.4884
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,17,9.9998
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,18,9.09638
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,19,6.44174
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,20,7.46256
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,21,7.28927
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,22,12.023
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,23,16.4516
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,24,8.04361
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,25,7.34356
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,26,7.31863
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,27,5.53692
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,28,5.98263
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,29,2.71739
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,30,7.66159
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,31,16.1181
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,32,31.7151
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,33,33.1185
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,34,23.3123
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,35,22.3641
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,36,21.8339
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,37,19.5118
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,38,18.5241
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,39,18.3042
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,40,16.0188
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,41,11.057
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,42,9.96351
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,43,7.32987
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,44,7.5656
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,45,8.32419
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,46,5.83214
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,47,7.23772
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,48,5.93561
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,49,5.00102
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,50,3.66179
