cost,cost_step,batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,xentropy,rmse,accuracy,xentropy_last,rmse_last,accuracy_last
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,0,2.56796,42.9829,0.322613,2.07768,42.1776,0.44
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,1,2.46749,42.7053,0.320399,1.99778,41.768,0.44
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,2,2.64965,42.4381,0.323049,2.07239,41.4227,0.44
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,3,3.01491,42.1741,0.326098,2.53034,41.0178,0.4
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,4,3.28607,41.9864,0.328276,2.71674,40.6531,0.42
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,5,3.52492,41.8763,0.34,2.70528,40.1812,0.46
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,6,3.66739,41.8502,0.347477,2.58223,39.7068,0.5
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,7,3.92539,41.8367,0.356044,2.53357,39.1881,0.56
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,8,4.46277,41.7776,0.358984,2.59609,38.5557,0.62
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,9,5.02882,41.7893,0.358947,2.64272,37.9053,0.68
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,10,5.53445,41.8998,0.362069,2.84611,37.3111,0.68
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,11,6.22459,41.9753,0.35804,3.12538,36.7314,0.68
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,12,7.01368,42.0245,0.353902,3.19718,36.055,0.68
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,13,7.63846,42.1947,0.348203,3.31933,35.4564,0.7
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,14,8.82589,42.2427,0.346425,3.83072,34.8159,0.68
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,15,9.28476,42.5134,0.347223,3.74928,34.0785,0.68
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,16,10.0833,42.6393,0.348022,4.04412,33.4751,0.66
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,17,10.8177,42.7811,0.34686,4.04458,32.77,0.66
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,18,10.5511,43.2543,0.347768,3.02998,32.7617,0.66
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,19,12.5903,43.0237,0.347187,4.19091,31.4966,0.68
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,20,13.1286,43.2733,0.34951,4.0685,30.8168,0.68
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,21,12.5398,44.2252,0.34588,3.31561,30.2451,0.68
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,22,12.8079,44.6098,0.344973,3.26968,29.7147,0.7
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,23,12.4617,44.9436,0.345299,3.25863,29.5634,0.68
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,24,15.2012,44.3976,0.341379,4.0417,29.2255,0.64
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,25,16.0922,44.5034,0.341742,4.5302,29.5011,0.66
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,26,16.6905,44.5905,0.347623,5.15364,29.4984,0.66
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,27,16.5922,45.0333,0.342976,5.04569,29.0932,0.68
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,28,16.2102,45.6083,0.337495,3.94044,29.0126,0.7
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,29,16.4795,45.6341,0.339746,3.66526,27.8371,0.7
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,30,16.4727,45.5572,0.34294,3.21637,28.0549,0.76
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,31,16.738,45.2902,0.340653,3.78897,27.367,0.7
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,32,16.7369,45.1936,0.347441,3.78931,27.166,0.72
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,33,16.8625,45.1948,0.347913,3.69065,26.977,0.7
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,34,16.9907,45.2565,0.348457,3.77993,26.6725,0.72
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,35,17.3125,45.2975,0.347514,3.94418,26.4633,0.72
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,36,17.6523,45.2705,0.347695,4.10933,26.3345,0.7
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,37,17.9877,45.3444,0.348022,4.23501,26.2423,0.7
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,38,18.075,45.6585,0.344828,4.14599,25.9764,0.72
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,39,18.2601,45.9636,0.343376,4.16517,25.8482,0.72
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,40,18.7425,45.9899,0.347187,4.16291,25.6899,0.72
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,41,19.3011,45.9684,0.350417,4.25709,25.4085,0.72
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,42,19.7194,46.1392,0.349837,4.3254,25.2491,0.7
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,43,19.8011,46.6272,0.339964,4.37592,25.1065,0.74
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,44,19.8716,47.0074,0.336624,4.47758,25.1837,0.74
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,45,20.0262,47.4237,0.33274,4.69136,25.381,0.7
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,46,21.0517,46.5988,0.342868,4.83897,25.1189,0.68
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,47,22.2615,46.4527,0.344465,5.96222,27.305,0.64
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,48,22.5274,46.3328,0.345191,6.31845,27.7868,0.66
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,49,22.4059,46.4794,0.343122,6.0484,27.7,0.66
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,50,21.8041,46.62,0.336443,5.08602,26.615,0.68
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,51,21.0888,46.6106,0.339383,5.24528,25.6403,0.64
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,52,20.7349,46.6372,0.337495,5.54388,25.1823,0.66
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,53,20.4182,46.7144,0.336552,5.36239,24.9604,0.7
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,54,20.3037,46.7966,0.335499,5.08162,25.0609,0.74
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,55,20.405,46.8907,0.336806,5.09365,24.862,0.78
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,56,20.4501,46.8764,0.338185,5.17095,24.48,0.76
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,57,20.6088,46.8826,0.338875,5.04966,24.1421,0.76
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,58,20.879,46.9081,0.340581,4.96149,23.9221,0.74
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,59,21.2492,46.8675,0.342613,4.74669,23.7405,0.76
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,60,21.479,47.0039,0.342577,4.44744,23.5987,0.78
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,61,21.1434,47.1699,0.338766,4.12408,23.5386,0.82
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,62,21.3312,47.351,0.338984,4.10946,23.1884,0.8
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,63,21.7093,47.3073,0.338185,4.49376,22.9735,0.82
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,64,21.8892,47.4096,0.338584,4.75432,22.7977,0.8
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,65,21.692,47.5762,0.339456,4.80959,22.5639,0.8
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,66,21.5441,47.7357,0.34265,4.73908,22.4183,0.8
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,67,21.5165,48.0042,0.34029,4.6058,22.2463,0.78
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,68,21.6449,48.3021,0.336479,4.27168,22.3762,0.82
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,69,21.9179,48.4171,0.335535,4.15113,22.0633,0.84
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,70,22.2507,48.4081,0.338911,4.22506,21.6227,0.8
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,71,22.5574,48.187,0.342432,4.95312,21.8146,0.8
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,72,22.7868,48.222,0.341996,5.02148,21.8161,0.8
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,73,22.9585,48.6463,0.335608,5.06655,21.5039,0.8
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,74,22.957,48.9379,0.334265,5.07389,21.7596,0.8
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,75,23.4254,48.7419,0.338439,4.70866,20.9446,0.82
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,76,23.901,48.6319,0.34225,4.56876,20.8393,0.84
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,77,23.7428,48.5234,0.344319,4.59998,20.9437,0.84
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,78,26.6758,48.877,0.341234,6.45222,23.4896,0.78
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,79,26.9595,49.2082,0.339056,6.77863,23.8043,0.78
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,80,24.6106,49.6997,0.334592,4.5346,22.0734,0.86
rmse,last,20,0.005,50,500,1.0,0.0,3,2,5,2,10,551,81,23.2858,50.2465,0.330309,5.16598,24.8312,0.78
