fixed,batches,learning rate,batch_size,per_batch,dropout,k_conv,n_conv1,n_conv2,n_layer,n_steps,train step,xentropy,rmse,accuracy
True,1,0.005,100,500,0.99,3,2,7,1,100,0,4.59898,0.0994479,0.0089
True,1,0.005,100,500,0.99,3,2,7,1,100,10,3.93787,0.0987943,0.0612
True,1,0.005,100,500,0.99,3,2,7,1,100,20,3.73483,0.0980968,0.1092
True,1,0.005,100,500,0.99,3,2,7,1,100,30,3.92777,0.0983032,0.1223
True,1,0.005,100,500,0.99,3,2,7,1,100,40,3.56342,0.0976519,0.1114
True,1,0.005,100,500,0.99,3,2,7,1,100,50,3.38422,0.0973164,0.1224
True,1,0.005,100,500,0.99,3,2,7,1,100,60,4.56883,0.0992735,0.0447
True,1,0.005,100,500,0.99,3,2,7,1,100,70,3.46833,0.097815,0.1061
True,1,0.005,100,500,0.99,3,2,7,1,100,80,3.35374,0.0970987,0.1421
True,1,0.005,100,500,0.99,3,2,7,1,100,90,3.23992,0.0971878,0.1401
True,1,0.005,100,500,0.99,3,2,7,1,100,100,3.01058,0.0959625,0.1638
True,1,0.005,100,500,0.99,3,2,7,1,100,110,2.86735,0.0948775,0.1969
True,1,0.005,100,500,0.99,3,2,7,1,100,120,3.90974,0.0987304,0.07
True,1,0.005,100,500,0.99,3,2,7,1,100,130,3.36377,0.0968158,0.1373
True,1,0.005,100,500,0.99,3,2,7,1,100,140,3.22827,0.0963152,0.1411
True,1,0.005,100,500,0.99,3,2,7,1,100,150,3.03442,0.0952431,0.155
True,1,0.005,100,500,0.99,3,2,7,1,100,160,2.93774,0.094631,0.1791
True,1,0.005,100,500,0.99,3,2,7,1,100,170,3.05179,0.0953838,0.1608
True,1,0.005,100,500,0.99,3,2,7,1,100,180,2.98099,0.0950645,0.1536
True,1,0.005,100,500,0.99,3,2,7,1,100,190,2.95683,0.095053,0.1648
True,1,0.005,100,500,0.99,3,2,7,1,100,200,2.88476,0.0946646,0.1611
True,1,0.005,100,500,0.99,3,2,7,1,100,210,2.89393,0.0946181,0.1812
True,1,0.005,100,500,0.99,3,2,7,1,100,220,2.96142,0.0950996,0.1574
True,1,0.005,100,500,0.99,3,2,7,1,100,230,2.84411,0.0941629,0.1811
True,1,0.005,100,500,0.99,3,2,7,1,100,240,3.04686,0.0930371,0.1804
True,1,0.005,100,500,0.99,3,2,7,1,100,250,2.87029,0.0939299,0.1815
True,1,0.005,100,500,0.99,3,2,7,1,100,260,2.79923,0.0934266,0.1744
True,1,0.005,100,500,0.99,3,2,7,1,100,270,2.88932,0.0936508,0.1734
True,1,0.005,100,500,0.99,3,2,7,1,100,280,2.7648,0.0929656,0.1823
True,1,0.005,100,500,0.99,3,2,7,1,100,290,2.76522,0.0934387,0.1827
True,1,0.005,100,500,0.99,3,2,7,1,100,300,2.74437,0.0933101,0.177
True,1,0.005,100,500,0.99,3,2,7,1,100,310,3.45485,0.095918,0.177
True,1,0.005,100,500,0.99,3,2,7,1,100,320,3.07557,0.0945901,0.1784
True,1,0.005,100,500,0.99,3,2,7,1,100,330,2.77312,0.094119,0.1884
True,1,0.005,100,500,0.99,3,2,7,1,100,340,2.71132,0.0935341,0.1902
True,1,0.005,100,500,0.99,3,2,7,1,100,350,2.71958,0.0939117,0.184
True,1,0.005,100,500,0.99,3,2,7,1,100,360,2.81704,0.0940617,0.1845
True,1,0.005,100,500,0.99,3,2,7,1,100,370,3.11835,0.0965204,0.1413
True,1,0.005,100,500,0.99,3,2,7,1,100,380,3.03063,0.0955798,0.1464
True,1,0.005,100,500,0.99,3,2,7,1,100,390,2.98809,0.0952246,0.1394
True,1,0.005,100,500,0.99,3,2,7,1,100,400,2.92912,0.0951351,0.1661
True,1,0.005,100,500,0.99,3,2,7,1,100,410,2.93678,0.0948613,0.153
True,1,0.005,100,500,0.99,3,2,7,1,100,420,2.8392,0.0939227,0.1848
True,1,0.005,100,500,0.99,3,2,7,1,100,430,2.7377,0.0931923,0.2121
True,1,0.005,100,500,0.99,3,2,7,1,100,440,2.69233,0.0930111,0.2156
True,1,0.005,100,500,0.99,3,2,7,1,100,450,2.78371,0.0938658,0.1832
True,1,0.005,100,500,0.99,3,2,7,1,100,460,2.76381,0.0934433,0.1963
True,1,0.005,100,500,0.99,3,2,7,1,100,470,2.73605,0.0931278,0.1981
True,1,0.005,100,500,0.99,3,2,7,1,100,480,2.70683,0.0928745,0.1981
True,1,0.005,100,500,0.99,3,2,7,1,100,490,2.68817,0.0925354,0.2122
True,1,0.005,100,500,0.99,3,2,7,1,100,-1,7.21292,0.100053,0.0528
True,1,0.005,100,500,0.99,3,2,7,2,100,0,4.60622,0.0994619,0.0039
True,1,0.005,100,500,0.99,3,2,7,2,100,10,3.55225,0.0974049,0.1481
True,1,0.005,100,500,0.99,3,2,7,2,100,20,3.17426,0.0963952,0.1513
True,1,0.005,100,500,0.99,3,2,7,2,100,30,2.83099,0.0944694,0.2063
True,1,0.005,100,500,0.99,3,2,7,2,100,40,2.94421,0.0962033,0.1693
True,1,0.005,100,500,0.99,3,2,7,2,100,50,3.25347,0.0967666,0.1801
True,1,0.005,100,500,0.99,3,2,7,2,100,60,2.85005,0.0951968,0.2129
True,1,0.005,100,500,0.99,3,2,7,2,100,70,2.8079,0.0956934,0.1683
True,1,0.005,100,500,0.99,3,2,7,2,100,80,2.69651,0.0940894,0.2087
True,1,0.005,100,500,0.99,3,2,7,2,100,90,2.54126,0.0931227,0.224
True,1,0.005,100,500,0.99,3,2,7,2,100,100,2.68298,0.0933598,0.1816
True,1,0.005,100,500,0.99,3,2,7,2,100,110,3.1008,0.096962,0.1987
True,1,0.005,100,500,0.99,3,2,7,2,100,120,3.59729,0.0964946,0.1958
True,1,0.005,100,500,0.99,3,2,7,2,100,130,3.62706,0.0966625,0.1003
True,1,0.005,100,500,0.99,3,2,7,2,100,140,3.31216,0.0957991,0.1708
True,1,0.005,100,500,0.99,3,2,7,2,100,150,3.29769,0.096166,0.1326
True,1,0.005,100,500,0.99,3,2,7,2,100,160,2.79091,0.0944871,0.2101
True,1,0.005,100,500,0.99,3,2,7,2,100,170,2.90694,0.0938084,0.2163
True,1,0.005,100,500,0.99,3,2,7,2,100,180,2.54535,0.0912959,0.261
True,1,0.005,100,500,0.99,3,2,7,2,100,190,2.22969,0.0886242,0.32
True,1,0.005,100,500,0.99,3,2,7,2,100,200,2.21943,0.0885123,0.3353
True,1,0.005,100,500,0.99,3,2,7,2,100,210,2.03476,0.087349,0.3768
True,1,0.005,100,500,0.99,3,2,7,2,100,220,1.92267,0.0859366,0.4085
True,1,0.005,100,500,0.99,3,2,7,2,100,230,1.94634,0.0858586,0.4116
