batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,0,29.646
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,1,29.2926
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,2,28.9418
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,3,28.5936
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,4,28.2483
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,5,27.9058
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,6,27.5664
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,7,27.2298
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,8,26.896
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,9,26.5654
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,10,26.2376
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,11,25.9129
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,12,25.5911
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,13,25.2726
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,14,24.9571
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,15,24.6448
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,16,24.3358
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,17,24.0301
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,18,23.7273
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,19,23.428
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,20,23.1322
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,21,22.8395
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,22,22.55
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,23,22.2636
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,24,21.9806
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,25,21.7011
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,26,21.425
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,27,21.1522
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,28,20.8826
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,29,20.6159
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,30,20.3523
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,31,20.0917
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,32,19.834
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,33,19.5792
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,34,19.3273
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,35,19.0785
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,36,18.8329
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,37,18.5906
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,38,18.3516
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,39,18.1159
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,40,17.8834
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,41,17.6538
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,42,17.4273
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,43,17.204
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,44,16.984
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,45,16.7671
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,46,16.5534
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,47,16.3427
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,48,16.1352
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,49,15.9304
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,50,15.7285
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,51,15.5296
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,52,15.3336
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,53,15.1406
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,54,14.9508
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,55,14.7641
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,56,14.5803
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,57,14.3994
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,58,14.2214
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,59,14.0465
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,60,13.8747
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,61,13.7057
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,62,13.5393
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,63,13.3756
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,64,13.2148
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,65,13.0565
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,66,12.9009
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,67,12.748
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,68,12.5977
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,69,12.4503
