batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,0,48.8206
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,1,48.5374
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,2,48.2525
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,3,47.9733
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,4,47.7191
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,5,47.499
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,6,47.3086
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,7,47.1355
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,8,46.9813
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,9,46.8467
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,10,46.7271
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,11,46.6179
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,12,46.5164
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,13,46.4211
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,14,46.3266
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,15,46.2316
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,16,46.136
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,17,46.042
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,18,45.9489
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,19,45.8569
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,20,45.7667
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,21,45.6788
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,22,45.5935
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,23,45.5113
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,24,45.4321
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,25,45.3561
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,26,45.2833
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,27,45.2137
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,28,45.1471
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,29,45.0834
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,30,45.0225
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,31,44.9642
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,32,44.9082
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,33,44.8543
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,34,44.8023
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,35,44.752
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,36,44.7032
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,37,44.6555
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,38,44.6089
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,39,44.563
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,40,44.5177
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,41,44.4727
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,42,44.4277
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,43,44.3826
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,44,44.337
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,45,44.2907
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,46,44.2435
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,47,44.1951
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,48,44.1454
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,49,44.0943
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,50,44.0418
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,51,43.9882
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,52,43.9336
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,53,43.8784
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,54,43.823
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,55,43.7675
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,56,43.7121
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,57,43.6567
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,58,43.6013
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,59,43.5459
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,60,43.4906
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,61,43.4356
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,62,43.381
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,63,43.3269
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,64,43.2735
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,65,43.2209
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,66,43.1694
