batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,0,136.394
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,1,125.995
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,2,116.245
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,3,107.169
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,4,98.7627
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,5,90.9837
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,6,83.7663
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,7,77.0297
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,8,70.6862
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,9,64.6705
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,10,58.9494
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,11,53.5429
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,12,48.5232
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,13,44.0124
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,14,40.1662
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,15,37.1366
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,16,35.003
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,17,33.7121
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,18,33.0807
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,19,32.8444
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,20,32.7413
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,21,32.5734
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,22,32.2221
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,23,31.6368
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,24,30.8165
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,25,29.7914
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,26,28.6098
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,27,27.335
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,28,26.0405
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,29,24.8052
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,30,23.7055
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,31,22.8015
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,32,22.1254
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,33,21.6731
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,34,21.4088
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,35,21.2762
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,36,21.2087
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,37,21.1446
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,38,21.0348
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,39,20.8491
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,40,20.5771
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,41,20.2273
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,42,19.8226
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,43,19.3933
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,44,18.9697
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,45,18.5759
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,46,18.2266
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,47,17.9278
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,48,17.6781
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,49,17.4709
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,50,17.2945
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,51,17.1324
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,52,16.9674
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,53,16.7849
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,54,16.5795
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,55,16.3543
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,56,16.1199
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,57,15.8891
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,58,15.6723
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,59,15.4747
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,60,15.2964
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,61,15.1357
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,62,14.9891
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,63,14.851
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,64,14.7157
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,65,14.5782
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,66,14.4349
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,67,14.2846
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,68,14.1298
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,69,13.9744
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,70,13.8228
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,71,13.6778
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,72,13.541
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,73,13.4117
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,74,13.2876
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,75,13.1668
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,76,13.0483
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,77,12.9288
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,78,12.8096
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,79,12.6899
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,80,12.5707
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,81,12.4546
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,82,12.343
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,83,12.2357
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,84,12.1317
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,85,12.0302
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,86,11.9293
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,87,11.8268
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,88,11.7233
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,89,11.6211
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,90,11.5216
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,91,11.4247
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,92,11.3294
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,93,11.2359
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,94,11.1442
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,95,11.0538
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,96,10.9637
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,97,10.8737
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,98,10.7847
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,99,10.6978
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,100,10.6129
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,-1,11.2484
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,101,10.5292
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,102,10.4469
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,103,10.3661
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,104,10.2865
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,105,10.2077
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,106,10.1295
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,107,10.0524
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,108,9.97664
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,109,9.90222
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,110,9.8291
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,111,9.75741
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,112,9.68704
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,113,9.61753
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,114,9.54858
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,115,9.48047
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,116,9.41336
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,117,9.34715
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,118,9.28173
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,119,9.21718
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,120,9.15351
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,121,9.0906
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,122,9.02833
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,123,8.9668
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,124,8.90609
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,125,8.84618
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,126,8.78695
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,127,8.72853
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,128,8.67078
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,129,8.61369
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,130,8.55707
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,131,8.50098
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,132,8.44549
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,133,8.39045
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,134,8.336
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,135,8.28223
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,136,8.22911
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,137,8.17658
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,138,8.12471
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,139,8.07343
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,140,8.02278
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,141,7.97278
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,142,7.9233
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,143,7.87447
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,144,7.82622
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,145,7.77855
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,146,7.73145
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,147,7.68482
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,148,7.63868
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,149,7.59306
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,150,7.54798
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,151,7.50343
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,152,7.45932
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,153,7.4157
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,154,7.37252
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,155,7.32977
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,156,7.28748
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,157,7.24562
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,158,7.20421
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,159,7.16324
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,160,7.12268
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,161,7.08253
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,162,7.04281
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,163,7.00356
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,164,6.96471
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,165,6.92621
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,166,6.88816
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,167,6.85054
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,168,6.81321
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,169,6.77624
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,170,6.73964
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,171,6.70335
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,172,6.6674
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,173,6.6318
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,174,6.59656
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,175,6.56161
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,176,6.527
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,177,6.49273
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,178,6.45883
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,179,6.42522
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,180,6.39193
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,181,6.35896
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,182,6.32629
