batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,0,21.3359
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,1,21.1527
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,2,20.9801
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,3,20.8448
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,4,20.7351
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,5,20.6223
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,6,20.4991
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,7,20.4208
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,8,20.3328
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,9,20.2274
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,10,20.1611
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,11,20.077
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,12,19.9943
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,13,19.916
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,14,19.8478
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,15,19.7596
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,16,19.6874
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,17,19.6036
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,18,19.5323
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,19,19.4611
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,20,19.381
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,21,19.3157
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,22,19.2465
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,23,19.2163
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,24,19.2354
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,25,19.3084
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,26,19.2727
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,27,19.1794
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,28,19.0718
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,29,18.9787
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,30,18.9242
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,31,18.8896
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,32,18.9297
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,33,18.8127
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,34,18.7663
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,35,18.7421
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,36,18.7224
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,37,18.6872
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,38,18.648
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,39,18.5995
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,40,18.559
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,41,18.514
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,42,18.4707
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,43,18.426
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,44,18.3866
