fixed,noise,batches,learning rate,batch_size,per_batch,dropout,k_conv,n_conv1,n_conv2,n_layer,n_steps,train step,xentropy,rmse,accuracy
True,False,10,0.005,100,100,0.99,3,2,7,2,1,0,412.11,0.140726,0.0
True,False,10,0.005,100,100,0.99,3,2,7,2,1,10,189.685,0.140463,0.0
True,False,10,0.005,100,100,0.99,3,2,7,2,1,20,99.5747,0.135992,0.04
True,False,10,0.005,100,100,0.99,3,2,7,2,1,30,60.0687,0.135338,0.02
True,False,10,0.005,100,100,0.99,3,2,7,2,1,40,39.1755,0.134339,0.04
True,False,10,0.005,100,100,0.99,3,2,7,2,1,50,27.6143,0.127885,0.11
True,False,10,0.005,100,100,0.99,3,2,7,2,1,60,19.8076,0.119436,0.2
True,False,10,0.005,100,100,0.99,3,2,7,2,1,70,15.9236,0.115927,0.21
True,False,10,0.005,100,100,0.99,3,2,7,2,1,80,11.6499,0.104285,0.35
True,False,10,0.005,100,100,0.99,3,2,7,2,1,90,8.14245,0.0931329,0.48
True,False,10,0.005,100,100,0.99,3,2,7,2,1,100,6.54315,0.0955642,0.44
True,False,10,0.005,100,100,0.99,3,2,7,2,1,110,29.2895,0.125428,0.09
True,False,10,0.005,100,100,0.99,3,2,7,2,1,120,15.112,0.117682,0.15
True,False,10,0.005,100,100,0.99,3,2,7,2,1,130,8.55477,0.110168,0.24
True,False,10,0.005,100,100,0.99,3,2,7,2,1,140,5.09737,0.10107,0.33
True,False,10,0.005,100,100,0.99,3,2,7,2,1,150,3.69289,0.0897349,0.43
True,False,10,0.005,100,100,0.99,3,2,7,2,1,160,2.11441,0.0749323,0.61
True,False,10,0.005,100,100,0.99,3,2,7,2,1,170,1.62092,0.0682709,0.67
True,False,10,0.005,100,100,0.99,3,2,7,2,1,180,1.63125,0.063382,0.74
True,False,10,0.005,100,100,0.99,3,2,7,2,1,190,1.40735,0.0660263,0.7
True,False,10,0.005,100,100,0.99,3,2,7,2,1,200,0.829627,0.0555663,0.8
True,False,10,0.005,100,100,0.99,3,2,7,2,1,210,7.63725,0.0929189,0.43
True,False,10,0.005,100,100,0.99,3,2,7,2,1,220,4.11047,0.085895,0.48
True,False,10,0.005,100,100,0.99,3,2,7,2,1,230,2.67085,0.0796515,0.57
