cost,cost_step,batches,learning rate,batch_size,per_batch,dropout,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,xentropy,rmse,accuracy,xentropy_last,rmse_last,accuracy_last
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,0,7.54106,0.000531348,0.00212264,7.54173,0.000531272,0.0
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,10,7.9216,0.00480758,0.0349057,3.26862,0.00490435,0.1
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,20,10.0652,0.00505198,0.0101415,3.15388,0.00511055,0.05
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,30,10.8762,0.00524035,0.0346698,3.17349,0.0052875,0.1
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,40,11.1962,0.00501706,0.0341981,3.15862,0.00507066,0.1
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,50,11.3284,0.00503185,0.0304245,3.13323,0.00510002,0.05
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,60,11.3985,0.0050608,0.0337264,3.12939,0.00512074,0.1
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,70,11.4328,0.00509216,0.0353774,3.15708,0.00513348,0.1
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,80,11.4431,0.00505434,0.0351415,3.14557,0.00510284,0.1
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,90,11.4425,0.00503939,0.0325472,3.13294,0.00507191,0.1
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,100,11.4524,0.00503871,0.034434,3.1619,0.0050852,0.1
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,110,11.4695,0.00504541,0.0341981,3.13749,0.00509456,0.1
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,120,11.4803,0.00504442,0.0341981,3.14068,0.00509244,0.1
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,130,11.5021,0.00505149,0.0337264,3.13854,0.00510064,0.125
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,140,11.5222,0.00505822,0.034434,3.16162,0.00511707,0.1
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,150,11.5564,0.00506759,0.0349057,3.13292,0.00511071,0.1
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,160,11.5665,0.00507309,0.0351415,3.14258,0.00511448,0.075
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,170,11.555,0.00505654,0.0330189,3.12595,0.00510179,0.1
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,180,11.5652,0.00505392,0.0339623,3.15052,0.00510865,0.125
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,190,11.586,0.0050514,0.0334906,3.14832,0.00509493,0.15
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,200,11.592,0.00503815,0.0339623,3.13936,0.00508092,0.1
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,210,11.5587,0.00505708,0.034434,3.09659,0.00509998,0.125
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,220,11.5918,0.00510013,0.0353774,3.13448,0.00516833,0.1
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,230,11.627,0.00518057,0.0334906,3.03897,0.00521403,0.125
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,240,11.6608,0.00524259,0.034434,2.92354,0.0052949,0.1
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,250,11.7154,0.00554595,0.0377358,2.80433,0.00562794,0.1
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,260,11.795,0.00579993,0.0292453,2.68243,0.00589582,0.225
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,270,11.931,0.00600237,0.0231132,2.63308,0.0060844,0.175
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,280,11.9969,0.00607833,0.0367925,2.63949,0.0062352,0.125
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,290,12.1299,0.00625031,0.0188679,2.56729,0.0063573,0.25
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,300,12.1181,0.00628664,0.0209906,2.57136,0.00642939,0.15
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,310,12.2386,0.00640315,0.0304245,2.52249,0.00652878,0.225
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,320,12.2269,0.00631238,0.0320755,2.64025,0.00648018,0.15
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,330,12.3919,0.00656691,0.0245283,2.6102,0.00662653,0.125
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,340,12.4151,0.00656904,0.029717,2.4796,0.00668914,0.175
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,350,12.4726,0.00660155,0.0318396,2.48901,0.00673659,0.175
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,360,12.5331,0.00671233,0.0306604,2.40964,0.00687278,0.175
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,370,12.4595,0.00670309,0.032783,2.48232,0.00690287,0.175
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,380,12.6867,0.0069134,0.0316038,2.45232,0.00699232,0.175
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,390,12.6387,0.00693845,0.0320755,2.42402,0.00705708,0.2
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,400,12.7434,0.00698896,0.0323113,2.35147,0.00709216,0.25
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,410,12.8176,0.00722027,0.0358491,2.34169,0.00718069,0.225
