cost,cost_step,batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,xentropy,rmse,accuracy,xentropy_last,rmse_last,accuracy_last
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,0,7.6247,0.000484867,0.000254083,7.62196,0.000488083,0.0
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,1,7.58303,0.000486055,0.0216515,7.51686,0.000489373,0.02
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,2,7.4342,0.000504047,0.00549909,7.0658,0.000526906,0.01
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,3,7.22412,0.000566152,0.0115971,6.51882,0.0006022,0.03
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,4,7.02906,0.000777644,0.0117786,5.92781,0.000828752,0.03
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,5,6.90984,0.00136057,0.0119056,5.35664,0.00140042,0.03
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,6,6.95127,0.00213018,0.0120145,4.91737,0.00215362,0.03
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,7,7.12,0.0025991,0.0118875,4.62401,0.00261821,0.03
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,8,7.34211,0.00275526,0.0118875,4.42853,0.00277048,0.03
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,9,7.57622,0.00282846,0.0165517,4.30067,0.00284257,0.03
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,10,7.82486,0.00295575,0.0198004,4.22975,0.00296606,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,11,8.07284,0.00315046,0.0198004,4.20438,0.00316584,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,12,8.31116,0.00336072,0.0198004,4.20374,0.00337455,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,13,8.52554,0.00350348,0.0198004,4.20879,0.00351607,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,14,8.70885,0.00356285,0.0198004,4.21041,0.00357505,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,15,8.86915,0.00356905,0.0198004,4.20714,0.00358168,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,16,9.01005,0.003545,0.019873,4.19905,0.00355712,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,17,9.13553,0.00348158,0.0251361,4.18577,0.00349173,0.04
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,18,9.25109,0.00336377,0.0252632,4.16918,0.00337575,0.04
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,19,9.36054,0.00322185,0.0252813,4.15426,0.00323285,0.04
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,20,9.46844,0.00310187,0.0251724,4.14553,0.00310873,0.04
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,21,9.57411,0.00302713,0.0198367,4.14386,0.00303496,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,22,9.67308,0.00300416,0.0198548,4.14633,0.00300992,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,23,9.76213,0.00300216,0.0198004,4.14877,0.00301103,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,24,9.83814,0.00301015,0.0198004,4.14871,0.00301974,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,25,9.90547,0.00302646,0.0198004,4.14631,0.00303329,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,26,9.96407,0.00305108,0.0198004,4.14309,0.00305814,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,27,10.0175,0.00309054,0.0198004,4.14028,0.00309777,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,28,10.0662,0.00313965,0.0198004,4.13829,0.00314665,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,29,10.11,0.00318377,0.0198004,4.13675,0.0031917,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,30,10.1496,0.00321107,0.0198004,4.13508,0.00321931,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,31,10.1845,0.00321514,0.0198004,4.13305,0.00322327,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,32,10.215,0.00320014,0.0198004,4.13097,0.00320748,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,33,10.2426,0.00317358,0.0198004,4.12941,0.00318161,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,34,10.2684,0.00314667,0.0198185,4.12871,0.00315448,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,35,10.2925,0.0031223,0.0198548,4.12878,0.00313052,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,36,10.3147,0.00310423,0.019873,4.12918,0.00311023,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,37,10.3357,0.00308703,0.0198911,4.12935,0.00309287,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,38,10.3552,0.00307287,0.0198548,4.12894,0.0030787,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,39,10.3727,0.00306261,0.019873,4.12793,0.00306937,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,40,10.3896,0.00306026,0.0198004,4.12659,0.00306686,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,41,10.4057,0.00306519,0.0198004,4.12532,0.00307219,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,42,10.4211,0.00307945,0.0198004,4.12447,0.00308465,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,43,10.4357,0.00309675,0.0198004,4.12419,0.00310169,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,44,10.4494,0.00311278,0.0198004,4.12438,0.00311897,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,45,10.4614,0.00312608,0.0198004,4.12473,0.0031314,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,46,10.4715,0.00312751,0.0198004,4.12488,0.00313509,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,47,10.4794,0.00312262,0.0198004,4.12463,0.00312925,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,48,10.4851,0.00310875,0.0198004,4.12408,0.00311652,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,49,10.49,0.00309588,0.0198004,4.12347,0.0031014,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,50,10.4937,0.00307848,0.0198004,4.12302,0.00308801,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,51,10.4974,0.0030717,0.0198004,4.12283,0.00307874,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,52,10.501,0.00306774,0.0198004,4.12282,0.00307425,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,53,10.5045,0.00306822,0.0198004,4.12286,0.0030742,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,54,10.5082,0.00307011,0.0198004,4.12286,0.00307784,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,55,10.5118,0.00307797,0.0198004,4.12279,0.00308431,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,56,10.5155,0.00308468,0.0198004,4.12266,0.00309266,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,57,10.5195,0.00309391,0.0198004,4.12251,0.0031016,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,58,10.5235,0.00309899,0.0198004,4.12237,0.00310958,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,59,10.5274,0.00310394,0.0198004,4.12225,0.00311488,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,60,10.5313,0.00310935,0.0198004,4.12216,0.00311613,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,61,10.5343,0.00310612,0.0198004,4.1221,0.00311283,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,62,10.5369,0.00309707,0.0198004,4.12205,0.00310567,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,63,10.5386,0.00308651,0.0198004,4.12202,0.00309637,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,64,10.5397,0.00308114,0.0198004,4.122,0.00308707,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,65,10.5397,0.00307167,0.0198004,4.12196,0.00307971,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,66,10.5395,0.00306986,0.0198004,4.12191,0.00307558,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,67,10.5387,0.00306995,0.0198004,4.12184,0.00307515,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,68,10.5384,0.00307144,0.0198004,4.12178,0.00307816,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,69,10.5378,0.00307517,0.0198004,4.12173,0.00308376,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,70,10.5378,0.00308187,0.0198004,4.1217,0.0030907,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,71,10.5384,0.0030883,0.0198004,4.12167,0.00309754,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,72,10.5391,0.00309446,0.0198004,4.12164,0.00310293,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,73,10.5404,0.00309941,0.0198004,4.1216,0.00310586,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,74,10.5411,0.00309844,0.0198004,4.12156,0.0031059,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,75,10.5417,0.00309689,0.0198004,4.12152,0.00310322,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,76,10.5415,0.00309338,0.0198004,4.12147,0.00309856,0.06
cross,last,10,0.005,100,500,1.0,0.0,3,3,5,2,100,551,77,10.541,0.00308603,0.0198004,4.12141,0.003093,0.06
