cost,cost_step,batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,xentropy,rmse,accuracy,xentropy_last,rmse_last,accuracy_last
cost,cost_step,batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,xentropy,rmse,accuracy,xentropy_last,rmse_last,accuracy_last
cost,cost_step,batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,xentropy,rmse,accuracy,xentropy_last,rmse_last,accuracy_last
rmse,last,1,0.001,633,5000,1.0,0.0,3,2,5,1,10,551,0,11.7806,46.8464,0.21116,11.865,46.2262,0.210111
rmse,last,1,0.001,633,5000,1.0,0.0,3,2,5,1,10,551,1,11.31,46.6599,0.215142,11.3094,46.0269,0.21169
rmse,last,1,0.001,633,5000,1.0,0.0,3,2,5,1,10,551,2,10.7739,46.4629,0.221267,10.657,45.8009,0.219589
rmse,last,1,0.001,633,5000,1.0,0.0,3,2,5,1,10,551,3,10.2033,46.2557,0.229532,9.9724,45.555,0.236967
rmse,last,1,0.001,633,5000,1.0,0.0,3,2,5,1,10,551,4,9.63028,46.0414,0.24041,9.27625,45.3087,0.255924
rmse,last,1,0.001,633,5000,1.0,0.0,3,2,5,1,10,551,5,9.08841,45.8223,0.254344,8.67032,45.0723,0.251185
rmse,last,1,0.001,633,5000,1.0,0.0,3,2,5,1,10,551,6,8.60334,45.6008,0.269256,8.17726,44.8461,0.278041
rmse,last,1,0.001,633,5000,1.0,0.0,3,2,5,1,10,551,7,8.17612,45.3775,0.284532,7.7557,44.62,0.303318
rmse,last,1,0.001,633,5000,1.0,0.0,3,2,5,1,10,551,8,7.81438,45.1542,0.300539,7.43683,44.3938,0.323855
rmse,last,1,0.001,633,5000,1.0,0.0,3,2,5,1,10,551,9,7.52647,44.9349,0.315781,7.23214,44.1817,0.342812
rmse,last,1,0.001,633,5000,1.0,0.0,3,2,5,1,10,551,10,7.30281,44.7221,0.329119,7.07653,43.9778,0.364929
rmse,last,1,0.001,633,5000,1.0,0.0,3,2,5,1,10,551,11,7.14015,44.518,0.341358,6.95417,43.7792,0.371248
