cost,cost_step,batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,xentropy,rmse,accuracy,xentropy_last,rmse_last,accuracy_last
rmse,last,1,0.001,633,5000,1.0,0.0,3,2,5,1,10,551,0,24.8622,43.5348,0.419608,24.7388,43.3484,0.421801
rmse,last,1,0.001,633,5000,1.0,0.0,3,2,5,1,10,551,1,24.4371,43.3701,0.419608,24.3223,43.1863,0.421801
rmse,last,1,0.001,633,5000,1.0,0.0,3,2,5,1,10,551,2,24.0403,43.2135,0.419608,23.9268,43.0331,0.421801
rmse,last,1,0.001,633,5000,1.0,0.0,3,2,5,1,10,551,3,23.6713,43.0692,0.419608,23.5627,42.8923,0.421801
rmse,last,1,0.001,633,5000,1.0,0.0,3,2,5,1,10,551,4,23.3463,42.9412,0.419608,23.2357,42.766,0.421801
rmse,last,1,0.001,633,5000,1.0,0.0,3,2,5,1,10,551,5,23.0694,42.825,0.419608,22.9462,42.6545,0.421801
rmse,last,1,0.001,633,5000,1.0,0.0,3,2,5,1,10,551,6,22.8122,42.7221,0.419608,22.6911,42.5565,0.421801
rmse,last,1,0.001,633,5000,1.0,0.0,3,2,5,1,10,551,7,22.5893,42.6414,0.419608,22.4648,42.4697,0.421801
rmse,last,1,0.001,633,5000,1.0,0.0,3,2,5,1,10,551,8,22.3824,42.5579,0.419608,22.2609,42.3915,0.421801
rmse,last,1,0.001,633,5000,1.0,0.0,3,2,5,1,10,551,9,22.1973,42.483,0.419608,22.0735,42.3197,0.421801
rmse,last,1,0.001,633,5000,1.0,0.0,3,2,5,1,10,551,10,21.9995,42.4164,0.419608,21.8975,42.2525,0.421801
rmse,last,1,0.001,633,5000,1.0,0.0,3,2,5,1,10,551,11,21.8472,42.3515,0.419608,21.7291,42.1884,0.421801
rmse,last,1,0.001,633,5000,1.0,0.0,3,2,5,1,10,551,12,21.6729,42.2895,0.419608,21.5653,42.1265,0.421801
rmse,last,1,0.001,633,5000,1.0,0.0,3,2,5,1,10,551,13,21.5154,42.225,0.419608,21.4042,42.066,0.421801
rmse,last,1,0.001,633,5000,1.0,0.0,3,2,5,1,10,551,14,21.3538,42.1611,0.419608,21.2441,42.0066,0.421801
rmse,last,1,0.001,633,5000,1.0,0.0,3,2,5,1,10,551,15,21.1827,42.1042,0.419608,21.0838,41.9477,0.421801
rmse,last,1,0.001,633,5000,1.0,0.0,3,2,5,1,10,551,16,21.0298,42.0471,0.419608,20.9226,41.8891,0.421801
rmse,last,1,0.001,633,5000,1.0,0.0,3,2,5,1,10,551,17,20.8725,41.9807,0.419608,20.7599,41.8306,0.421801
